gene_short_name,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
FOLR3,OK,dxPD,1.277618,0.0601292,21.2479,6.58e-99,1.75371265508441,count,9.756166e-95
MNDA,OK,dxPD,-0.3542965,0.0174364,-20.3194,1.03e-90,-0.507488797929996,count,1.527078e-86
TXNDC15,OK,dxPD,2.214376,0.1099314,20.1433,3.36e-89,3.08580822783471,count,4.9812e-85
CD52,OK,dxPD,-0.2590234,0.0138869,-18.6524,7.02e-77,-0.372560246070336,count,1.0406448e-72
LGALS2,OK,dxPD,-0.3372341,0.0183144,-18.4136,5.44e-75,-0.482768253534097,count,8.063712e-71
HLA-DRB5,OK,dxPD,-0.4936797,0.0268838,-18.3634,1.35e-74,-0.70051809466219,count,2.00097e-70
TMSB4X,OK,dxPD,-0.0841023,0.0047095,-17.8579,1.1e-70,-0.12130274282227,count,1.63031e-66
MT-ND3,OK,dxPD,0.2071931,0.0123484,16.7789,1.11e-62,0.297859869046791,count,1.64502e-58
LGALS1,OK,dxPD,0.1870531,0.0117258,15.9523,7.08e-57,0.269096372890965,count,1.0491852e-52
MT-ND4,OK,dxPD,0.1642563,0.0109231,15.0376,8.82e-51,0.236276530913517,count,1.3069476e-46
UBC,OK,dxPD,0.3143418,0.0216546,14.5162,1.84e-47,0.448456142833735,count,2.726328e-43
SMDT1,OK,dxPD,0.4524201,0.0336343,13.4512,4.91e-41,0.633659537651177,count,7.274656e-37
FTL,OK,dxPD,0.0732333,0.0055588,13.1742,1.92e-39,0.10561188681163,count,2.84448e-35
DUSP6,OK,dxPD,-0.4907504,0.0404469,-12.1332,9.7e-34,-0.680450836495776,count,1.436958e-29
LYZ,OK,dxPD,-0.1046851,0.0086866,-12.0513,2.61e-33,-0.150948303380555,count,3.866193e-29
CD9,OK,dxPD,-0.9844681,0.0838743,-11.7374,1.08e-31,-1.17674048928646,count,1.599696e-27
DYNLL1,OK,dxPD,-0.3178125,0.0296639,-10.7138,1.07e-26,-0.447686090629049,count,1.584777e-22
HLA-C,OK,dxPD,-0.1406447,0.0131629,-10.685,1.45e-26,-0.201921896283944,count,2.14745e-22
IL8,OK,dxPD,0.3088354,0.0299612,10.3079,7.68e-25,0.439750843931274,count,1.1373312e-20
CEBPD,OK,dxPD,-0.2460974,0.0239603,-10.2711,1.12e-24,-0.349660907596182,count,1.658496e-20
TIPARP,OK,dxPD,0.7160814,0.0712262,10.0536,1.03e-23,0.934163020349644,count,1.525121e-19
SH3BGRL3,OK,dxPD,0.1062862,0.0108957,9.7549,2.01e-22,0.152865752011121,count,2.976006e-18
RPL21,OK,dxPD,0.0667232,0.0068826,9.6944,3.63e-22,0.0961462843250879,count,5.374215e-18
RPL8,OK,dxPD,-0.1008624,0.0104217,-9.6781,4.26e-22,-0.145061064666522,count,6.306504e-18
CALM2,OK,dxPD,-0.1544243,0.0161231,-9.5778,1.12e-21,-0.221232150838667,count,1.657936e-17
MT-ATP6,OK,dxPD,0.1160981,0.0123955,9.3661,8.44e-21,0.166870103995741,count,1.2492888e-16
GIMAP4,OK,dxPD,-0.4890301,0.05286,-9.2514,2.47e-20,-0.653376089434615,count,3.655847e-16
RGS2,OK,dxPD,-0.2265382,0.0248308,-9.1233,8.08e-20,-0.32235338423543,count,1.19584e-15
CXCR4,OK,dxPD,-0.5562044,0.06104,-9.1121,8.96e-20,-0.72651045838455,count,1.3259904e-15
VSTM1,OK,dxPD,1.102486,0.1245268,8.8534,9.31e-19,1.22791210773315,count,1.3776938e-14
ZFP36L2,OK,dxPD,-0.2631403,0.0298128,-8.8264,1.18e-18,-0.370736616490991,count,1.746046e-14
FCN1,OK,dxPD,0.0987728,0.011326,8.7209,3.01e-18,0.142062784969461,count,4.453596e-14
PIM3,OK,dxPD,0.6070536,0.0700748,8.6629,5e-18,0.785823150260461,count,7.3975e-14
TUBA1A,OK,dxPD,-0.2675228,0.0311855,-8.5784,1.04e-17,-0.376174800094961,count,1.538576e-13
GIMAP7,OK,dxPD,-0.6536713,0.0788811,-8.2868,1.25e-16,-0.790698929690034,count,1.849125e-12
CLEC7A,OK,dxPD,-0.1818514,0.0220174,-8.2594,1.57e-16,-0.258852610415216,count,2.322344e-12
CDKN1A,OK,dxPD,0.3400088,0.0421712,8.0626,7.96e-16,0.468834748655884,count,1.1773636e-11
HSPA1A,OK,dxPD,-0.7830474,0.0975847,-8.0243,1.09e-15,-0.913697718479857,count,1.61211e-11
IER2,OK,dxPD,-0.1643964,0.0207544,-7.9211,2.5e-15,-0.235096543159046,count,3.69725e-11
FCER1G,OK,dxPD,-0.0817383,0.0104977,-7.7863,7.29e-15,-0.1175721754365,count,1.0780452e-10
RPS19,OK,dxPD,-0.0610946,0.0079913,-7.6452,2.2e-14,-0.0880047496705551,count,3.25314e-10
S100A12,OK,dxPD,0.1483001,0.0196132,7.5612,4.19e-14,0.213114981655476,count,6.195334e-10
CRIP1,OK,dxPD,0.174295,0.0231842,7.5178,5.85e-14,0.24998518287055,count,8.649225e-10
KLF6,OK,dxPD,-0.1545369,0.0205936,-7.5041,6.49e-14,-0.22086352716333,count,9.594816e-10
CARD16,OK,dxPD,-0.1462072,0.0195865,-7.4647,8.75e-14,-0.208683215771389,count,1.2935125e-09
RPS13,OK,dxPD,0.0609203,0.0082155,7.4153,1.27e-13,0.087732830996683,count,1.877314e-09
ITGB2,OK,dxPD,-0.1560551,0.0211005,-7.3958,1.47e-13,-0.222476240579773,count,2.172807e-09
SIGLEC14,OK,dxPD,-0.5625906,0.0763164,-7.3718,1.76e-13,-0.706660289705217,count,2.60128e-09
EREG,OK,dxPD,0.6255848,0.0851706,7.3451,2.15e-13,0.800152687943827,count,3.177485e-09
MAP3K8,OK,dxPD,0.3378547,0.0460018,7.3444,2.16e-13,0.462064605933961,count,3.192048e-09
AMFR,OK,dxPD,0.5066535,0.069068,7.3356,2.31e-13,0.667434044469884,count,3.413487e-09
CCL3L3,OK,dxPD,-1.320231,0.1817807,-7.2628,3.96e-13,-1.01010770078372,count,5.851296e-09
POU2F2,OK,dxPD,-0.3191442,0.0443989,-7.1881,6.84e-13,-0.436289847180983,count,1.01061e-08
P2RY13,OK,dxPD,-0.4808738,0.0680594,-7.0655,1.66e-12,-0.612707978026842,count,2.452484e-08
CD74,OK,dxPD,-0.0810998,0.0116466,-6.9634,3.44e-12,-0.116768637855076,count,5.081912e-08
ASAH1,OK,dxPD,0.1857759,0.0266943,6.9594,3.54e-12,0.262801130363367,count,5.229288e-08
RGS18,OK,dxPD,-0.4373653,0.0645816,-6.7723,1.31e-11,-0.571745503105192,count,1.935001e-07
HES1,OK,dxPD,0.6638716,0.0988027,6.7192,1.89e-11,0.817531344867742,count,2.79153e-07
CDKN2D,OK,dxPD,0.2788894,0.0415947,6.7049,2.08e-11,0.385637799713751,count,3.071952e-07
TMEM176B,OK,dxPD,0.3164922,0.0474379,6.6717,2.61e-11,0.433528011770216,count,3.854448e-07
SRSF5,OK,dxPD,-0.1753881,0.0262965,-6.6696,2.64e-11,-0.247942696677442,count,3.898488e-07
PLP2,OK,dxPD,0.214173,0.0328607,6.5176,7.34e-11,0.29998718211951,count,1.0838244e-06
TLR4,OK,dxPD,-0.5725529,0.0889593,-6.4361,1.26e-10,-0.674491152026368,count,1.86039e-06
C14orf119,OK,dxPD,-0.5746665,0.0893944,-6.4284,1.32e-10,-0.657406474592245,count,1.948848e-06
S100A11,OK,dxPD,-0.0780195,0.0121723,-6.4096,1.5e-10,-0.112144260532626,count,2.21445e-06
NXT1,OK,dxPD,0.4738282,0.074033,6.4002,1.59e-10,0.599139050579205,count,2.347158e-06
S100A9,OK,dxPD,0.0712585,0.0111461,6.3931,1.67e-10,0.102742024109662,count,2.465087e-06
NOP10,OK,dxPD,-0.1559742,0.0244054,-6.391,1.69e-10,-0.221264054264791,count,2.49444e-06
HLA-DQA1,OK,dxPD,-0.2820351,0.0442364,-6.3756,1.87e-10,-0.386581115746995,count,2.759933e-06
SULT1A1,OK,dxPD,0.3477524,0.0546683,6.3611,2.05e-10,0.466594824908059,count,3.02539e-06
HSBP1,OK,dxPD,-0.2013294,0.0318203,-6.3271,2.56e-10,-0.282286741912247,count,3.777792e-06
PPDPF,OK,dxPD,0.1778629,0.0281229,6.3245,2.6e-10,0.25107316754645,count,3.83656e-06
PSME2,OK,dxPD,-0.1455519,0.023201,-6.2735,3.61e-10,-0.206899567079786,count,5.326555e-06
GADD45B,OK,dxPD,0.275514,0.0440706,6.2517,4.16e-10,0.378771160298076,count,6.137664e-06
RHOB,OK,dxPD,-0.3554163,0.0571767,-6.2161,5.21e-10,-0.474872851134837,count,7.686313e-06
CYP1B1,OK,dxPD,0.3764878,0.0613705,6.1347,8.72e-10,0.502365386920979,count,1.2863744e-05
MS4A6A,OK,dxPD,-0.1140252,0.0186691,-6.1077,1.03e-09,-0.162945354393897,count,1.519353e-05
DUSP1,OK,dxPD,-0.0864634,0.0141686,-6.1025,1.07e-09,-0.124215226910541,count,1.57825e-05
TNFSF10,OK,dxPD,-0.2850361,0.0467483,-6.0972,1.1e-09,-0.387986583937561,count,1.62239e-05
EIF1,OK,dxPD,0.0583544,0.0095723,6.0962,1.11e-09,0.0839884727204752,count,1.637028e-05
GCA,OK,dxPD,-0.2412307,0.0397246,-6.0726,1.29e-09,-0.334106441598676,count,1.902363e-05
RPS15A,OK,dxPD,0.05535,0.0091273,6.0642,1.35e-09,0.0796761608006655,count,1.99071e-05
LGALS9C,OK,dxPD,-2.341192,0.3867829,-6.053,1.45e-09,-0.902195711991442,count,2.138025e-05
EMP3,OK,dxPD,-0.0948947,0.0157226,-6.0356,1.62e-09,-0.136023406816634,count,2.388528e-05
HLA-DRA,OK,dxPD,-0.0864353,0.0143343,-6.0299,1.67e-09,-0.12429760598779,count,2.462081e-05
IRF2BPL,OK,dxPD,0.5325819,0.0885176,6.0167,1.82e-09,0.661178861045921,count,2.683044e-05
NINJ1,OK,dxPD,0.2266934,0.037708,6.0118,1.87e-09,0.315100074816682,count,2.756567e-05
FTH1,OK,dxPD,0.0466248,0.0078004,5.9772,2.31e-09,0.0672235998495799,count,3.40494e-05
HLA-B,OK,dxPD,-0.063167,0.0106206,-5.9476,2.77e-09,-0.0908596531223296,count,4.082703e-05
RPL13A,OK,dxPD,0.0494168,0.0083654,5.9073,3.54e-09,0.0711653557022169,count,5.217252e-05
PLIN5,OK,dxPD,1.759383,0.2994658,5.8751,4.31e-09,1.08226903607389,count,6.351647e-05
LYST,OK,dxPD,-0.1938258,0.0330187,-5.8702,4.43e-09,-0.271578705136432,count,6.528048e-05
SNRPG,OK,dxPD,-0.2086553,0.0356741,-5.8489,5.04e-09,-0.290170609836308,count,7.42644e-05
SAMHD1,OK,dxPD,-0.2184385,0.0375269,-5.8209,5.96e-09,-0.302755576528611,count,8.781464e-05
RGS1,OK,dxPD,0.851593,0.1469442,5.7954,6.94e-09,0.831205409101526,count,0.00010224702
EGR1,OK,dxPD,-0.222439,0.038476,-5.7812,7.54e-09,-0.310705501330575,count,0.00011107928
NFKBIZ,OK,dxPD,-0.2007224,0.0351598,-5.7089,1.16e-08,-0.280904635918103,count,0.0001708796
G0S2,OK,dxPD,0.3389926,0.0594488,5.7023,1.2e-08,0.469007087051235,count,0.00017676
MT-ND4L,OK,dxPD,0.1784655,0.0315234,5.6614,1.53e-08,0.250930030346754,count,0.0002253537
MIDN,OK,dxPD,0.2331753,0.0417926,5.5793,2.45e-08,0.321637425813276,count,0.000360836
THBS1,OK,dxPD,0.3540974,0.0641093,5.5233,3.37e-08,0.479486222232114,count,0.0004962999
SRGN,OK,dxPD,0.0784084,0.0143592,5.4605,4.81e-08,0.112499605749366,count,0.0007083206
RSL24D1,OK,dxPD,0.1878492,0.0344995,5.445,5.25e-08,0.262697382491099,count,0.0007730625
GSTP1,OK,dxPD,0.0857044,0.0158824,5.3962,6.9e-08,0.122771318412859,count,0.001015956
GPR183,OK,dxPD,0.4005733,0.0742861,5.3923,7.05e-08,0.505169895374871,count,0.0010379715
IRF2BP2,OK,dxPD,0.2340434,0.0434225,5.3899,7.14e-08,0.322341975436884,count,0.0010511508
PRMT10,OK,dxPD,0.6684616,0.1247947,5.3565,8.6e-08,0.710784903121815,count,0.001266006
MT-ND5,OK,dxPD,0.1146833,0.0214491,5.3468,9.07e-08,0.163388829180278,count,0.001335104
FOS,OK,dxPD,-0.0496952,0.0093393,-5.3211,1.04e-07,-0.0715955300572943,count,0.001530776
ANXA1,OK,dxPD,-0.0935658,0.0175851,-5.3207,1.05e-07,-0.134041226486595,count,0.00154539
PLAC8,OK,dxPD,-0.1932019,0.0363216,-5.3192,1.06e-07,-0.269360754557515,count,0.001560002
LST1,OK,dxPD,-0.0584783,0.0109938,-5.3192,1.06e-07,-0.0841073458466766,count,0.001560002
SEMA6B,OK,dxPD,0.8821184,0.1660748,5.3116,1.1e-07,0.823725314944334,count,0.00161865
MZT2A,OK,dxPD,-0.3872626,0.0734319,-5.2738,1.35e-07,-0.483444732257447,count,0.00198639
BTG1,OK,dxPD,-0.1416992,0.0268973,-5.2682,1.39e-07,-0.200349437895257,count,0.002045107
RPS2,OK,dxPD,-0.0421707,0.0080306,-5.2513,1.53e-07,-0.0607442441754448,count,0.002250936
SGK1,OK,dxPD,-0.3197743,0.0613236,-5.2145,1.86e-07,-0.420792923925454,count,0.002736246
ARL4C,OK,dxPD,0.4778572,0.0917946,5.2057,1.95e-07,0.565424078565317,count,0.00286845
EXOSC3,OK,dxPD,-0.7682238,0.1478971,-5.1943,2.08e-07,-0.673807324834869,count,0.003059472
LRG1,OK,dxPD,0.8837669,0.1708634,5.1724,2.34e-07,0.806506475288149,count,0.003441672
ZNRD1,OK,dxPD,-0.4875316,0.0943721,-5.1661,2.42e-07,-0.558247635538756,count,0.003559094
PTMA,OK,dxPD,0.0597343,0.0115816,5.1577,2.53e-07,0.0858813071983617,count,0.003720618
CD300E,OK,dxPD,-0.2350677,0.0457889,-5.1337,2.87e-07,-0.321036617951932,count,0.004220335
UPP1,OK,dxPD,0.2768855,0.054398,5.09,3.62e-07,0.369924186266734,count,0.005322848
SPG11,OK,dxPD,-0.3682746,0.0724484,-5.0833,3.75e-07,-0.460352698880065,count,0.005513625
HEBP2,OK,dxPD,0.2026735,0.039884,5.0816,3.78e-07,0.280489332788342,count,0.005557356
LTA4H,OK,dxPD,0.1606151,0.0316814,5.0697,4.03e-07,0.225585276664926,count,0.005924503
FAM65B,OK,dxPD,-0.2456743,0.0485583,-5.0594,4.25e-07,-0.333957486159457,count,0.0062475
LIPA,OK,dxPD,0.3315224,0.0656219,5.052,4.42e-07,0.430925805804748,count,0.006496958
C9orf89,OK,dxPD,0.2257278,0.0451146,5.0034,5.69e-07,0.309562928851523,count,0.008363162
PRELID1,OK,dxPD,-0.106659,0.0213476,-4.9963,5.9e-07,-0.151882946166808,count,0.00867123
PRDX1,OK,dxPD,-0.2097822,0.0419965,-4.9952,5.93e-07,-0.28751591874298,count,0.008714728
CD55,OK,dxPD,-0.2106482,0.0423481,-4.9742,6.62e-07,-0.28969871077116,count,0.00972809
DDIT4,OK,dxPD,0.3383638,0.0682388,4.9585,7.17e-07,0.435560036165441,count,0.010535598
CD97,OK,dxPD,-0.2020175,0.0407922,-4.9524,7.4e-07,-0.278223040821071,count,0.01087282
RPS16,OK,dxPD,-0.0571983,0.0115551,-4.9501,7.49e-07,-0.0821988761187292,count,0.011004308
RPL7,OK,dxPD,0.0402797,0.0081774,4.9257,8.48e-07,0.0580104611135106,count,0.012457968
C16orf54,OK,dxPD,-0.2859854,0.0582514,-4.9095,9.22e-07,-0.379867246383212,count,0.01354418
EPB41L3,OK,dxPD,0.430024,0.0876564,4.9058,9.39e-07,0.52736902470101,count,0.013792971
TSPO,OK,dxPD,0.0729568,0.0149917,4.8665,1.15e-06,0.10460958259959,count,0.0168912
GPX1,OK,dxPD,-0.068145,0.0140166,-4.8617,1.17e-06,-0.0977874022125118,count,0.01718379
HLA-DQB1,OK,dxPD,0.1674623,0.0347078,4.8249,1.41e-06,0.234172534796825,count,0.02070726
SUSD3,OK,dxPD,-0.8935287,0.1861319,-4.8005,1.6e-06,-0.630292855010653,count,0.023496
COX4I1,OK,dxPD,0.0659069,0.013751,4.7929,1.66e-06,0.0945652862533415,count,0.02437544
FPR2,OK,dxPD,-0.8106973,0.1696953,-4.7774,1.79e-06,-0.654311676489055,count,0.02628257
SNRPD1,OK,dxPD,-0.2216768,0.0464308,-4.7744,1.82e-06,-0.300269047760107,count,0.02672124
