gene_ids moduleColors
ENSG00000000419 blue
ENSG00000000457 red
ENSG00000000460 blue
ENSG00000000938 turquoise
ENSG00000001036 blue
ENSG00000001084 blue
ENSG00000001167 blue
ENSG00000001460 turquoise
ENSG00000001461 red
ENSG00000001497 turquoise
ENSG00000001561 blue
ENSG00000001629 red
ENSG00000001630 blue
ENSG00000001631 red
ENSG00000002016 red
ENSG00000002330 turquoise
ENSG00000002549 blue
ENSG00000002586 turquoise
ENSG00000002822 turquoise
ENSG00000002834 turquoise
ENSG00000002919 turquoise
ENSG00000002933 turquoise
ENSG00000003056 red
ENSG00000003147 blue
ENSG00000003393 blue
ENSG00000003400 turquoise
ENSG00000003402 turquoise
ENSG00000003436 green
ENSG00000003509 blue
ENSG00000003756 red
ENSG00000003987 blue
ENSG00000004059 turquoise
ENSG00000004139 turquoise
ENSG00000004142 turquoise
ENSG00000004399 turquoise
ENSG00000004455 blue
ENSG00000004468 red
ENSG00000004478 blue
ENSG00000004487 blue
ENSG00000004534 blue
ENSG00000004660 turquoise
ENSG00000004700 red
ENSG00000004766 red
ENSG00000004777 turquoise
ENSG00000004779 blue
ENSG00000004799 blue
ENSG00000004809 red
ENSG00000004864 blue
ENSG00000004866 blue
ENSG00000004897 blue
ENSG00000004961 red
ENSG00000004975 turquoise
ENSG00000005007 turquoise
ENSG00000005020 blue
ENSG00000005022 blue
ENSG00000005059 blue
ENSG00000005075 turquoise
ENSG00000005100 turquoise
ENSG00000005156 turquoise
ENSG00000005175 blue
ENSG00000005187 blue
ENSG00000005194 blue
ENSG00000005206 turquoise
ENSG00000005238 turquoise
ENSG00000005243 blue
ENSG00000005249 blue
ENSG00000005302 red
ENSG00000005339 turquoise
ENSG00000005379 turquoise
ENSG00000005381 turquoise
ENSG00000005436 blue
ENSG00000005448 turquoise
ENSG00000005469 red
ENSG00000005483 blue
ENSG00000005486 turquoise
ENSG00000005700 blue
ENSG00000005801 red
ENSG00000005810 blue
ENSG00000005812 blue
ENSG00000005844 turquoise
ENSG00000005882 turquoise
ENSG00000005889 blue
ENSG00000005893 blue
ENSG00000005955 blue
ENSG00000005961 pink
ENSG00000006007 blue
ENSG00000006015 turquoise
ENSG00000006016 turquoise
ENSG00000006025 turquoise
ENSG00000006062 turquoise
ENSG00000006075 turquoise
ENSG00000006114 red
ENSG00000006118 turquoise
ENSG00000006125 turquoise
ENSG00000006194 turquoise
ENSG00000006282 turquoise
ENSG00000006327 turquoise
ENSG00000006451 red
ENSG00000006453 turquoise
ENSG00000006459 blue
ENSG00000006530 blue
ENSG00000006534 turquoise
ENSG00000006576 blue
ENSG00000006607 turquoise
ENSG00000006625 blue
ENSG00000006634 blue
ENSG00000006638 turquoise
ENSG00000006652 blue
ENSG00000006695 turquoise
ENSG00000006712 turquoise
ENSG00000006715 red
ENSG00000006744 turquoise
ENSG00000006756 turquoise
ENSG00000006757 red
ENSG00000006831 blue
ENSG00000006837 green
ENSG00000007047 turquoise
ENSG00000007080 turquoise
ENSG00000007129 turquoise
ENSG00000007168 red
ENSG00000007202 turquoise
ENSG00000007237 turquoise
ENSG00000007255 turquoise
ENSG00000007312 turquoise
ENSG00000007341 blue
ENSG00000007372 blue
ENSG00000007376 turquoise
ENSG00000007392 green
ENSG00000007520 turquoise
ENSG00000007541 turquoise
ENSG00000007545 turquoise
ENSG00000007923 turquoise
ENSG00000007944 blue
ENSG00000007968 turquoise
ENSG00000008018 blue
ENSG00000008083 turquoise
ENSG00000008086 blue
ENSG00000008128 turquoise
ENSG00000008130 turquoise
ENSG00000008226 turquoise
ENSG00000008256 turquoise
ENSG00000008282 blue
ENSG00000008283 turquoise
ENSG00000008294 blue
ENSG00000008300 turquoise
ENSG00000008323 turquoise
ENSG00000008324 blue
ENSG00000008382 turquoise
ENSG00000008394 blue
ENSG00000008405 blue
ENSG00000008441 turquoise
ENSG00000008513 turquoise
ENSG00000008516 turquoise
ENSG00000008710 turquoise
ENSG00000008838 turquoise
ENSG00000008853 turquoise
ENSG00000008869 blue
ENSG00000008952 blue
ENSG00000008988 blue
ENSG00000009307 blue
ENSG00000009335 blue
ENSG00000009413 blue
ENSG00000009694 turquoise
ENSG00000009724 green
ENSG00000009780 blue
ENSG00000009790 turquoise
ENSG00000009830 turquoise
ENSG00000009844 red
ENSG00000009950 turquoise
ENSG00000009954 blue
ENSG00000010017 blue
ENSG00000010030 turquoise
ENSG00000010072 blue
ENSG00000010165 red
ENSG00000010219 blue
ENSG00000010244 blue
ENSG00000010256 turquoise
ENSG00000010270 blue
ENSG00000010278 blue
ENSG00000010292 turquoise
ENSG00000010295 turquoise
ENSG00000010318 blue
ENSG00000010322 turquoise
ENSG00000010327 turquoise
ENSG00000010361 turquoise
ENSG00000010404 blue
ENSG00000010539 red
ENSG00000010610 turquoise
ENSG00000010626 blue
ENSG00000010671 blue
ENSG00000010704 red
ENSG00000010803 turquoise
ENSG00000010810 blue
ENSG00000010818 red
ENSG00000011007 blue
ENSG00000011009 turquoise
ENSG00000011021 turquoise
ENSG00000011052 blue
ENSG00000011105 pink
ENSG00000011114 red
ENSG00000011132 turquoise
ENSG00000011143 turquoise
ENSG00000011198 blue
ENSG00000011243 turquoise
ENSG00000011258 red
ENSG00000011260 blue
ENSG00000011275 turquoise
ENSG00000011295 blue
ENSG00000011304 turquoise
ENSG00000011376 turquoise
ENSG00000011405 red
ENSG00000011422 turquoise
ENSG00000011426 blue
ENSG00000011451 turquoise
ENSG00000011454 red
ENSG00000011478 turquoise
ENSG00000011485 turquoise
ENSG00000011523 green
ENSG00000011566 blue
ENSG00000011600 turquoise
ENSG00000011638 blue
ENSG00000012048 blue
ENSG00000012061 turquoise
ENSG00000012124 blue
ENSG00000012174 blue
ENSG00000012211 turquoise
ENSG00000012232 turquoise
ENSG00000012660 blue
ENSG00000012779 turquoise
ENSG00000012822 turquoise
ENSG00000012963 blue
ENSG00000012983 blue
ENSG00000013016 pink
ENSG00000013275 turquoise
ENSG00000013288 turquoise
ENSG00000013297 green
ENSG00000013306 turquoise
ENSG00000013364 turquoise
ENSG00000013374 blue
ENSG00000013375 red
ENSG00000013392 blue
ENSG00000013441 blue
ENSG00000013503 red
ENSG00000013523 turquoise
ENSG00000013561 red
ENSG00000013563 turquoise
ENSG00000013573 turquoise
