"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene"
"MTSS1","4.38480079960654e-140","-0.574327940875649","0.042","0.186","6.50134414557661e-136","MTSS1"
"BID","3.5983923697192e-137","-0.607838020545667","0.231","0.499","5.33533636658266e-133","BID"
"TIMP1","2.35094482429572e-136","-0.613139784095986","0.413","0.69","3.48574589098326e-132","TIMP1"
"LRRC25","2.04291030523483e-134","-0.604775693184229","0.124","0.34","3.02902310957168e-130","LRRC25"
"MARCKSL1","1.44320419746526e-132","-0.613445267470452","0.066","0.231","2.13983886358174e-128","MARCKSL1"
"CSF1R","1.08533783149726e-123","-0.548707236703314","0.073","0.241","1.60923040276099e-119","CSF1R"
"JUN","8.42864054340195e-123","0.82534895234875","0.625","0.422","1.24971453337021e-118","JUN"
"FAM110A","4.82762791493049e-122","-0.501603015325902","0.036","0.16","7.15792390946743e-118","FAM110A"
"RNASET2","2.77833453827649e-121","-0.511042373481795","0.406","0.673","4.11943661990255e-117","RNASET2"
"CSTA","3.54518424852595e-120","0.610407646597512","0.731","0.595","5.25644468528943e-116","CSTA"
"NACA","6.47799374734722e-119","-0.405222717036097","0.773","0.918","9.60492132919172e-115","NACA"
"RPL34","3.94321855017287e-116","0.194262284410528","0.998","1","5.84661014434131e-112","RPL34"
"TPT1","4.78809345899624e-115","0.388888372051607","0.904","0.886","7.09930617165372e-111","TPT1"
"SOD1","1.27260035243024e-112","-0.58054418211638","0.165","0.38","1.88688454254832e-108","SOD1"
"SCGB3A1","3.56936420028358e-111","-0.26156542156569","0.001","0.042","5.29229629976046e-107","SCGB3A1"
"RRAS","8.29726149128524e-111","-0.498734663451784","0.034","0.149","1.23023496131286e-106","RRAS"
"CTSC","6.81265218167208e-110","-0.571154080792256","0.143","0.345","1.01011193897652e-105","CTSC"
"MYL6","5.9303241666718e-108","-0.300067780057022","0.889","0.966","8.79289164192428e-104","MYL6"
"BCL2A1","6.61204491616947e-107","-0.548738064344247","0.139","0.339","9.80367899720448e-103","BCL2A1"
"PLAC8","2.59380968029191e-105","-0.562985303668387","0.23","0.461","3.84584161296881e-101","PLAC8"
"CSF3R","2.59420396091211e-105","0.939556581920392","0.42","0.182","3.84642621284438e-101","CSF3R"
"GAPDH","1.2972999346384e-103","0.479939521459903","0.809","0.76","1.92350661308836e-99","GAPDH"
"UNC119","2.02478843733258e-103","-0.477884937532841","0.063","0.206","3.00215381603302e-99","UNC119"
"ARPC2","1.60836845256876e-102","-0.39870839525787","0.626","0.836","2.3847279046237e-98","ARPC2"
"PTP4A3","5.16276616001936e-102","-0.314241949593682","0.008","0.07","7.6548333854607e-98","PTP4A3"
"C1QC","2.05785136225395e-99","-0.346502873180618","0.002","0.041","3.05117621481393e-95","C1QC"
"FCN1","1.40815669910053e-98","0.367218820047686","0.905","0.868","2.08787393775636e-94","FCN1"
"ICAM4","3.39738195904891e-98","-0.341256487799544","0.011","0.079","5.03729823068183e-94","ICAM4"
"S100A11","1.91666964171768e-93","-0.280897010888008","0.877","0.964","2.84184607777481e-89","S100A11"
"NAAA","3.52246571256454e-93","-0.538345430918699","0.182","0.386","5.22275991201944e-89","NAAA"
"PTP4A2","7.07887046788314e-92","-0.463701433337014","0.33","0.571","1.04958412427303e-87","PTP4A2"
"CDH23","9.15340228322783e-90","-0.405161001673321","0.032","0.131","1.35717495653419e-85","CDH23"
"FMNL2","1.15502463219733e-89","-0.219492351415166","0.003","0.045","1.71255502215897e-85","FMNL2"
"VIM","3.57486085398693e-89","0.530583415525975","0.749","0.682","5.30044618820643e-85","VIM"
"SERPINA1","5.8343160787208e-89","-0.379763644662396","0.617","0.814","8.65054044991933e-85","SERPINA1"
"CD97","1.05142748901206e-87","-0.491285816592007","0.184","0.385","1.55895153795817e-83","CD97"
"SPI1","5.86905334032084e-87","-0.413548469129999","0.453","0.685","8.70204538769372e-83","SPI1"
"CFL1","1.09514050794338e-86","-0.325479776467025","0.749","0.898","1.62376483112765e-82","CFL1"
"RGL4","2.0695062824181e-85","-0.214510958419361","0.003","0.042","3.06845696494132e-81","RGL4"
"TESC","4.50191095253984e-84","-0.474478451184739","0.077","0.216","6.67498336933082e-80","TESC"
"ARHGDIB","9.42612157432733e-84","-0.397773698497755","0.563","0.766","1.39761104582551e-79","ARHGDIB"
"CALM2","3.31993380192625e-83","-0.339573604001487","0.695","0.866","4.92246584811606e-79","CALM2"
"OAS1","1.48027333598596e-82","-0.465335487286248","0.064","0.191","2.19480127526638e-78","OAS1"
"APOBEC3A","1.70456502149568e-82","-0.546094661653496","0.109","0.266","2.52735855737164e-78","APOBEC3A"
"RPS27","1.95974881169183e-82","-0.148694211661514","0.995","0.999","2.90571956309547e-78","RPS27"
"PILRA","2.25014195378305e-82","-0.446594959374899","0.242","0.453","3.33628547487413e-78","PILRA"
"HMOX1","3.25479638748274e-82","-0.488027135781139","0.082","0.221","4.82588660372066e-78","HMOX1"
"PPM1N","2.02332790839973e-81","-0.351692042843375","0.017","0.088","2.99998828978429e-77","PPM1N"
"CD47","3.26106656193166e-81","-0.499271977657731","0.14","0.313","4.83518339137607e-77","CD47"
"ICAM2","7.31030950113407e-79","-0.438817960711106","0.062","0.184","1.08389958973315e-74","ICAM2"
"CSTB","9.35248771129865e-79","-0.426116997570029","0.458","0.684","1.38669335295425e-74","CSTB"
"RPS13","5.88348935056836e-78","0.223090209363935","0.966","0.98","8.72344966008771e-74","RPS13"
"LYN","1.81800336960137e-77","-0.429866931506786","0.168","0.351","2.69555359610795e-73","LYN"
"HCK","2.30065629555341e-75","-0.410700502426045","0.231","0.435","3.41118308941704e-71","HCK"
"SIGLEC10","1.94945587477598e-74","-0.374617503856585","0.032","0.12","2.89045822553035e-70","SIGLEC10"
"CD68","4.65917017865553e-74","-0.380181629946144","0.393","0.616","6.90815162389256e-70","CD68"
"CHST2","3.27700863368057e-73","-0.253936266792774","0.008","0.058","4.85882070115819e-69","CHST2"
"CFD","1.35669009320933e-72","-0.40421670534749","0.517","0.72","2.01156440120147e-68","CFD"
"VASP","1.98871194071416e-72","-0.409537499918082","0.155","0.329","2.94866319449688e-68","VASP"
"VAMP5","2.81934413977819e-72","-0.427148896121065","0.257","0.459","4.18024155604912e-68","VAMP5"
"PTGES3","1.71833840042136e-71","-0.446907074708123","0.145","0.308","2.54778034630475e-67","PTGES3"
"TBC1D8","3.56840183776045e-71","-0.347507088762737","0.021","0.093","5.29086940484742e-67","TBC1D8"
"BIN2","1.4900916902656e-70","-0.414448108350829","0.114","0.263","2.20935894915681e-66","BIN2"
"S100A4","3.04465200746087e-70","-0.201609946995245","0.983","0.996","4.51430553146223e-66","S100A4"
"RAP1B","4.41923145235637e-70","-0.396005329380506","0.077","0.203","6.55239447440879e-66","RAP1B"
"KLF3","4.6269556169958e-70","-0.465501284261979","0.111","0.256","6.86038709331967e-66","KLF3"
"CAPZB","6.11731626882333e-70","-0.39494824642748","0.262","0.465","9.07014483178436e-66","CAPZB"
"TSTD1","5.6584096637717e-69","-0.336485241571142","0.031","0.115","8.38972400847429e-65","TSTD1"
"PPDPF","2.31398162199108e-68","-0.427772815833791","0.373","0.58","3.43094055092617e-64","PPDPF"
"EMP3","3.19875790545392e-68","-0.339154622068129","0.727","0.869","4.74279834641653e-64","EMP3"
"TBC1D10C","5.7226439919275e-68","-0.350498871350855","0.038","0.13","8.48496424683091e-64","TBC1D10C"
"FOSB","8.07549486416744e-68","0.605282994570198","0.593","0.461","1.19735362351011e-63","FOSB"
"IL8","1.01530540820614e-67","0.906658383122362","0.431","0.261","1.50539332874725e-63","IL8"
