"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene"
"AKAP10","0.0000546237639709067","-0.0329811430943697","0.025","0.041","0.809906548396634","AKAP10"
"IL6ST","0.0000549233462502185","0.162850651761913","0.037","0.019","0.81434845485199","IL6ST"
"ASB2","0.0000549991481008766","-0.033909258815459","0.002","0.007","0.815472368891697","ASB2"
"HMGB1","0.0000552209562604157","0.215287254657181","0.383","0.362","0.818761118473183","HMGB1"
"COMT","0.0000552875743823827","0.237853741900185","0.182","0.151","0.819748865367589","COMT"
"RSBN1L","0.0000561290624084178","-0.0429874012873716","0.027","0.043","0.83222560832961","RSBN1L"
"MBOAT7","0.0000566647352705108","0.219291331398363","0.099","0.072","0.840168029855863","MBOAT7"
"SLC46A3","0.0000573317388873433","-0.05922197582196","0.014","0.025","0.850057692482639","SLC46A3"
"HSPH1","0.0000576872347753385","-0.0438934439889873","0.012","0.023","0.855328630013944","HSPH1"
"XYLT1","0.0000583833746691489","-0.0498533382956137","0.015","0.027","0.865650296219471","XYLT1"
"RAPGEF1","0.000058570927832984","-0.0738482007139816","0.021","0.035","0.868431146979653","RAPGEF1"
"BMP2K","0.0000586443365392804","0.145086407143273","0.027","0.012","0.86951957786791","BMP2K"
"TRPV2","0.0000587158179391263","-0.0752821527231936","0.017","0.03","0.870579432583426","TRPV2"
"TMEM176B","0.0000588562454432363","-0.0171063376835335","0.172","0.217","0.872661551186865","TMEM176B"
"ECHS1","0.0000589250612143177","-0.0290681883004135","0.083","0.113","0.873681882624688","ECHS1"
"JAK3","0.0000596054453145809","-0.0635546070215612","0.025","0.041","0.883769937679292","JAK3"
"PPP2CA","0.0000597041320818083","-0.0432474949648428","0.077","0.105","0.885233166376972","PPP2CA"
"EAPP","0.0000597904551480738","-0.0235532379477934","0.094","0.126","0.88651307848049","EAPP"
"PPIG","0.0000603524953135091","-0.0156618019055816","0.114","0.15","0.8948464480134","PPIG"
"YPEL2","0.0000614683430508018","-0.0866693006177987","0.046","0.068","0.911391122414238","YPEL2"
"FUT7","0.0000616234944441633","0.0882114084567281","0.015","0.004","0.913691552123609","FUT7"
"MCRS1","0.0000617420369946432","-0.0340038368517672","0.03","0.047","0.915449182519575","MCRS1"
"LOXL3","0.0000620114960477156","-0.0352498555618348","0.007","0.016","0.91944445189948","LOXL3"
"RENBP","0.0000625595624259783","-0.0620642649287718","0.056","0.08","0.927570632089981","RENBP"
"HSPBP1","0.0000627728668976274","-0.0588091715335223","0.012","0.023","0.930733297491121","HSPBP1"
"PRMT1","0.0000632981973144092","-0.0586024711114073","0.049","0.072","0.938522371580745","PRMT1"
"RASSF5","0.0000642425069126437","-0.0236699084627293","0.064","0.089","0.952523649993768","RASSF5"
"HIST1H2BD","0.0000650662797033705","-0.0196914401934748","0.002","0.006","0.964737729161874","HIST1H2BD"
"C17orf58","0.0000659984634659622","-0.0312045212698102","0.005","0.012","0.978559217809821","C17orf58"
"RPP25","0.0000663019396299764","-0.0257179936887053","0.005","0.012","0.983058858893661","RPP25"
"TIMM50","0.0000664225004540207","-0.0386074371499791","0.032","0.05","0.984846414231765","TIMM50"
"NIPA2","0.0000667335942693896","-0.029006350708157","0.023","0.039","0.98945900223224","NIPA2"
"HLA-B","0.000067041301086519","-0.04372679614319","0.91","0.951","0.994021371209817","HLA-B"
"HARS","0.000067087484382073","-0.0410018390264018","0.019","0.033","0.994706130932996","HARS"
"TCOF1","0.000067657719923743","0.297475737099872","0.133","0.105","1","TCOF1"
"RAB32","0.00006832834612993","0.219712593189994","0.215","0.182","1","RAB32"
"EIF5AL1","0.0000687966299521264","-0.0438393542869557","0.014","0.027","1","EIF5AL1"
"TMEM170B","0.0000688593354113615","0.218706404487899","0.072","0.048","1","TMEM170B"
"KTI12","0.0000701558973013273","-0.0544610947418912","0.01","0.021","1","KTI12"
"REEP5","0.0000702274022491812","-0.0195753881523675","0.22","0.272","1","REEP5"
"MRPL1","0.0000704871654572914","-0.0460831356812903","0.024","0.04","1","MRPL1"
"SH3GLB1","0.0000711800174569557","-0.0130888949348814","0.1","0.133","1","SH3GLB1"
"KIF13A","0.0000737665180197215","0.166310920258822","0.047","0.027","1","KIF13A"
"FBXO7","0.0000737808008398596","-0.0513197559503664","0.053","0.076","1","FBXO7"
"RPS6KA1","0.0000741723031345694","-0.0578071095095098","0.051","0.073","1","RPS6KA1"
"DOCK10","0.0000745917447714317","-0.0537931519057489","0.027","0.043","1","DOCK10"
"LBR","0.0000746140518824281","0.163233549506238","0.065","0.042","1","LBR"
"SGTA","0.0000753534771621989","-0.0545292184343352","0.013","0.025","1","SGTA"
"SLC6A16","0.000075659675211229","-0.0252680961984197","0.001","0.004","1","SLC6A16"
"RER1","0.0000757784801160534","-0.0331398092854385","0.137","0.176","1","RER1"
"CENPE","0.0000759470005849253","-0.0216829784987541","0.001","0.004","1","CENPE"
"TMEM170A","0.0000762711419015156","-0.0542620067108919","0.033","0.051","1","TMEM170A"
"MLXIP","0.0000769712127244503","0.150320770166137","0.038","0.02","1","MLXIP"
"YIPF1","0.0000773509463268406","-0.0630549744081349","0.016","0.028","1","YIPF1"
"LSM7","0.0000781758114755693","0.00116803090011564","0.295","0.36","1","LSM7"
"PARP12","0.0000781788850507719","-0.0374043084639215","0.014","0.027","1","PARP12"
"ANKRD12","0.000078644185122891","-0.0249814744498772","0.069","0.095","1","ANKRD12"
"SRSF6","0.0000791268960676216","-0.0425250906733897","0.136","0.174","1","SRSF6"
"CUL4A","0.0000791707916251745","-0.0571950205844262","0.036","0.055","1","CUL4A"
"ELF1","0.0000793493262789843","-0.0157591087561503","0.118","0.153","1","ELF1"
"SNW1","0.0000805858653841291","-0.0269445238999007","0.073","0.1","1","SNW1"
"GDAP1","0.0000809971197602884","-0.0284712296649809","0.003","0.008","1","GDAP1"
"SLC25A33","0.0000810540082537521","-0.085590038294279","0.017","0.03","1","SLC25A33"
"H3F3B","0.0000823410925764674","0.112731799225552","0.827","0.872","1","H3F3B"
"MAGOHB","0.0000824168905278117","-0.0420975953524521","0.023","0.038","1","MAGOHB"
"YTHDF2","0.0000827669706635298","-0.0266198175593787","0.046","0.068","1","YTHDF2"
"MSRB1","0.0000840663871567023","0.247237591535707","0.119","0.091","1","MSRB1"
"RAB4B","0.0000842734344871654","-0.0173045055118172","0.038","0.057","1","RAB4B"
"NECAP1","0.0000852834713098148","-0.0711501368152078","0.03","0.047","1","NECAP1"
"ACAP1","0.0000861543464981978","0.123794603806899","0.034","0.017","1","ACAP1"
"SLC25A1","0.0000876185480088958","-0.0548180522409042","0.027","0.043","1","SLC25A1"
"NLRP3","0.0000882264221479541","0.19849315689155","0.062","0.04","1","NLRP3"
"NCOA3","0.0000890890919550266","-0.0438286930282061","0.048","0.069","1","NCOA3"
"CLEC2L","0.0000903375893839983","-0.0189681864881985","0","0.003","1","CLEC2L"
"IQGAP2","0.000090884216336571","0.203126700963956","0.098","0.071","1","IQGAP2"
"THAP11","0.0000927241073999849","-0.0599894640420573","0.033","0.05","1","THAP11"
"VPS26A","0.0000937433798676688","-0.0449642280014731","0.037","0.056","1","VPS26A"
"DHRS7B","0.0000938513271969614","-0.039412217976645","0.016","0.029","1","DHRS7B"
"ZSWIM4","0.0000951402538476748","0.263553427026201","0.065","0.043","1","ZSWIM4"
"CDK2AP1","0.0000951945365279844","-0.0354246198297561","0.006","0.014","1","CDK2AP1"
"CACNA2D4","0.0000959488433118258","0.120697820733552","0.031","0.015","1","CACNA2D4"
"NCOR1","0.0000961388618846927","-0.0386308971058661","0.078","0.106","1","NCOR1"
"CMTM2","0.0000969421679579301","0.15235797650914","0.02","0.007","1","CMTM2"
"VAMP8","0.0000977447357542129","0.182676466272379","0.518","0.53","1","VAMP8"
"CLIP4","0.0000979439398711927","-0.0573902724437614","0.028","0.044","1","CLIP4"
"GLT1D1","0.0000979513367021711","0.14285955777884","0.031","0.015","1","GLT1D1"
"TRAM1","0.0000982303632887846","-0.00609652653780013","0.132","0.17","1","TRAM1"
"MBOAT1","0.0000983109200693045","-0.0446063136536239","0.057","0.081","1","MBOAT1"
"TOMM22","0.0000992393584851645","-0.0436767359752741","0.136","0.173","1","TOMM22"
"SMC4","0.0000994404007030153","-0.0618883172446885","0.021","0.035","1","SMC4"
"KLRG1","0.000100399301316695","-0.0321082216619132","0.002","0.006","1","KLRG1"
"UBE2E3","0.000100687163922791","-0.0146998358382165","0.074","0.102","1","UBE2E3"
"CCL3L3","0.000101168408233192","0.0739869246729386","0.01","0.001","1","CCL3L3"
"SH3TC1","0.000101862957571181","-0.0464243382960999","0.028","0.044","1","SH3TC1"
"MAT2B","0.000101966394549711","-0.0274940963338179","0.051","0.073","1","MAT2B"
"COMMD10","0.000102121770330858","-0.0604278348405379","0.041","0.061","1","COMMD10"
"CACUL1","0.000102327898051148","-0.0538325286827108","0.05","0.072","1","CACUL1"
"RALBP1","0.000104970404626447","-0.0469375932824249","0.072","0.099","1","RALBP1"
"QSOX1","0.00010513799925924","0.178218305412255","0.056","0.035","1","QSOX1"
"LIN7A","0.000105893052577318","0.0976646035601255","0.021","0.008","1","LIN7A"
"KIAA1598","0.000105970288106149","0.159921177038104","0.042","0.023","1","KIAA1598"
"MRPS25","0.000106729414678376","-0.0506770705225557","0.045","0.066","1","MRPS25"
"BAG5","0.000108594335803313","-0.0576086598532527","0.019","0.033","1","BAG5"
"RPL23","0.000109245945449211","0.0986544114868688","0.777","0.836","1","RPL23"
"HIST1H4C","0.00011019554099033","0.20160426500352","0.067","0.045","1","HIST1H4C"
"CREB3","0.000110824804450867","-0.0477162964706423","0.016","0.028","1","CREB3"
"ERGIC3","0.000112304340000165","-0.0335559423642011","0.149","0.19","1","ERGIC3"
"ATF7","0.000112806461696932","-0.0511908629885073","0.039","0.058","1","ATF7"
"POLE3","0.000112814766628354","-0.0444089369321656","0.046","0.067","1","POLE3"
"FAM53B","0.000113434046493085","-0.0293367208558001","0.017","0.03","1","FAM53B"
"BHLHE40","0.000113931438865918","0.196294390465194","0.058","0.037","1","BHLHE40"
"MAP3K11","0.000114162339771368","-0.0581473826818657","0.055","0.078","1","MAP3K11"
"PLCB2","0.000115625020628676","-0.0370727633932901","0.067","0.093","1","PLCB2"
"HLA-DRB1","0.000116800404860881","-0.0466825524892607","0.717","0.814","1","HLA-DRB1"
"ZC3H13","0.000118306772936091","-0.0448231563938887","0.038","0.057","1","ZC3H13"
"TMBIM1","0.000118423714769628","-0.0443952821337416","0.034","0.052","1","TMBIM1"
"HEATR3","0.0001187305078433","-0.0724515010741652","0.013","0.024","1","HEATR3"
"STAG2","0.000119297293949075","-0.059909053674802","0.074","0.101","1","STAG2"
"LIPT2","0.000119419584788487","-0.0178323400536942","0.002","0.007","1","LIPT2"
"ANXA6","0.000120696489445508","0.17612930898446","0.064","0.041","1","ANXA6"
"UPF2","0.000121205433282522","-0.000618316470628044","0.108","0.142","1","UPF2"
"WLS","0.000121336263713715","0.0952981090296585","0.016","0.005","1","WLS"
"KARS","0.000121811959846975","-0.0485357374329048","0.059","0.082","1","KARS"
"ACAA2","0.000122463308855702","-0.0559110214063292","0.036","0.054","1","ACAA2"
"TOM1","0.00012293674089606","0.181750653379504","0.065","0.043","1","TOM1"
"MRPL49","0.000123308429508415","-0.0275905265331651","0.005","0.012","1","MRPL49"
"INSR","0.000125594910696322","-0.0483653510041885","0.059","0.083","1","INSR"
"AIFM1","0.000125694161501785","-0.0416054955619223","0.011","0.021","1","AIFM1"
"PHKB","0.000126793996669003","-0.0511979881553255","0.038","0.057","1","PHKB"
"VBP1","0.000127583438042559","-0.048837844251617","0.033","0.05","1","VBP1"
"CORO7","0.000127712970770916","-0.0601819462340015","0.043","0.063","1","CORO7"
"C1QBP","0.000129306797170908","-0.0543407183162894","0.109","0.141","1","C1QBP"
"PPIH","0.000130431638494688","-0.0564656857324589","0.028","0.044","1","PPIH"
"INO80C","0.00013063176048409","-0.0327035756531895","0.019","0.033","1","INO80C"
"SCAMP3","0.000131315982232034","-0.025370370360929","0.026","0.041","1","SCAMP3"
"EMD","0.000132423902760647","-0.0489433327614382","0.04","0.06","1","EMD"
"ETNK1","0.000132911608201247","-0.0408948440103098","0.039","0.059","1","ETNK1"
"NUDT3","0.000133179820540156","-0.0146291838885572","0.112","0.146","1","NUDT3"
"MRPL16","0.000133352821243698","-0.0405353545428753","0.056","0.079","1","MRPL16"
"RABEP2","0.000134976460999669","-0.0292421847886072","0.009","0.018","1","RABEP2"
"BRMS1","0.000135456565877234","-0.0545820616796448","0.056","0.078","1","BRMS1"
"AHR","0.000135520566300937","0.177472232029131","0.047","0.028","1","AHR"
"TTC27","0.000135986316263603","-0.0327379119529223","0.002","0.007","1","TTC27"
"WAC","0.000136879552013267","-0.0264525076967514","0.103","0.135","1","WAC"
"PAPSS1","0.00013701077382148","-0.0418357061019883","0.028","0.044","1","PAPSS1"
"CRYZL1","0.000137096545924659","-0.0506855174427835","0.037","0.056","1","CRYZL1"
"MT-ND6","0.000137238025451974","-0.0335014926569779","0.048","0.069","1","MT-ND6"
"PINX1","0.00013882630367849","-0.0376191122871884","0.006","0.014","1","PINX1"
"AIDA","0.00013923121892222","-0.0476492497762426","0.004","0.011","1","AIDA"
"THAP7","0.000140032328207735","-0.0322273893538482","0.014","0.025","1","THAP7"
"TMTC4","0.000140108248391694","-0.0378056335166344","0.005","0.012","1","TMTC4"
"TMEM128","0.000140268493969511","-0.0490806983630562","0.025","0.04","1","TMEM128"
"CADM1","0.000140607062079114","-0.0245729073072016","0.001","0.004","1","CADM1"
"CCNG2","0.000140944785615231","-0.0180736398160964","0.045","0.066","1","CCNG2"
"PNKP","0.000140981056157866","-0.0217755773711989","0.037","0.056","1","PNKP"
"PLEKHG2","0.000141433131445873","0.151793767976292","0.039","0.022","1","PLEKHG2"
"SFT2D2","0.000141450790820559","-0.0477099201746503","0.016","0.029","1","SFT2D2"
"CRTC3","0.00014195674768999","0.117360840989596","0.026","0.011","1","CRTC3"
"EVA1C","0.000142126561721196","-0.0213867762569989","0.001","0.004","1","EVA1C"
"MRPL48","0.00014249447752312","-0.0647528572971235","0.043","0.062","1","MRPL48"
"SEMA3B","0.000142636489308202","-0.0147099923011216","0.001","0.004","1","SEMA3B"
"NDUFV2","0.000143176934875317","-0.0417662467670526","0.011","0.021","1","NDUFV2"
"CECR1","0.000143436650575197","0.236140516953876","0.154","0.126","1","CECR1"
"MRPS9","0.000144597361197969","-0.0396276245605251","0.012","0.023","1","MRPS9"
"CEBPZ","0.000144747561215276","-0.0799036955106943","0.031","0.048","1","CEBPZ"
"C1orf43","0.000146527930889252","-0.0420527375673659","0.092","0.121","1","C1orf43"
"PSMA2","0.000146719823453418","0.00444658321615465","0.29","0.357","1","PSMA2"
"ATP5G2","0.000147436918488616","0.101679879521398","0.748","0.791","1","ATP5G2"
"FAM173A","0.000148285370373778","-0.0354475482462266","0.07","0.096","1","FAM173A"
"CAMLG","0.000148360641568215","-0.00657593850585869","0.088","0.117","1","CAMLG"
"EML2","0.000148535351321937","-0.0322553715281304","0.01","0.02","1","EML2"
"HEXIM1","0.00014900967649089","0.21072520235071","0.068","0.046","1","HEXIM1"
"RPL18","0.000149212981978144","0.0861488317459296","0.83","0.896","1","RPL18"
"KIAA0020","0.000150281192428708","-0.0557148011165581","0.014","0.025","1","KIAA0020"
"TTYH3","0.000150983661708718","-0.038719776133687","0.057","0.08","1","TTYH3"
"DNAJB1","0.000151593933453721","-0.0460049777601834","0.058","0.081","1","DNAJB1"
"RNPC3","0.000151687564379561","-0.0605942927739356","0.031","0.048","1","RNPC3"
"TXNIP","0.000151997443835476","-0.0179690459426531","0.525","0.616","1","TXNIP"
"TMEM33","0.000152776049529609","-0.0608738036680764","0.058","0.081","1","TMEM33"
"EPC2","0.000153932593208697","-0.0287297895060612","0.017","0.03","1","EPC2"
"IGFBP7","0.000154333238917237","0.149965983706608","0.055","0.035","1","IGFBP7"
"PLTP","0.000154877217131557","-0.0181866266411027","0.002","0.006","1","PLTP"
"IFIT2","0.000155957549647402","-0.0338959941486119","0.016","0.028","1","IFIT2"
"RWDD4","0.000157257102171493","-0.0363359611572701","0.024","0.039","1","RWDD4"
"C19orf43","0.000157387371240714","-0.0167885706183177","0.314","0.376","1","C19orf43"
"SPAG7","0.000157976895607719","-0.0079089873760857","0.116","0.15","1","SPAG7"
"TMEM175","0.000159125465328701","-0.0441633649253043","0.016","0.028","1","TMEM175"
"APOBEC3F","0.000161118516981432","-0.0446610226518099","0.005","0.011","1","APOBEC3F"
"UQCR10","0.000161553390336414","-0.00560833318479315","0.458","0.54","1","UQCR10"
"GPATCH4","0.000162498944551434","-0.045656108686136","0.01","0.02","1","GPATCH4"
"CCR1","0.000162582156202025","0.120724404466266","0.027","0.012","1","CCR1"
"MRPS18A","0.000163189012068807","-0.0624222460650358","0.021","0.035","1","MRPS18A"
"AASDHPPT","0.000166509034098397","-0.0515522651329278","0.025","0.04","1","AASDHPPT"
"PAOX","0.000167962714998583","-0.0288140199924111","0.005","0.011","1","PAOX"
"KRT7","0.000168073526392517","-0.0295730220986276","0.005","0.011","1","KRT7"
"YARS2","0.000168172083139607","-0.0247737892599836","0.005","0.011","1","YARS2"
"SUSD1","0.000169234968478279","-0.031603935044162","0.016","0.028","1","SUSD1"
"UHMK1","0.000170597271910516","-0.0580966300621834","0.042","0.061","1","UHMK1"
"GBAS","0.000171763655271266","-0.0392285959210509","0.07","0.096","1","GBAS"
"ESRRA","0.000172188871502396","-0.0772865313084627","0.016","0.028","1","ESRRA"
"BROX","0.000172903003453916","-0.0395462589892608","0.051","0.072","1","BROX"
"TMEM141","0.000173569569892055","-0.0524374453560438","0.069","0.094","1","TMEM141"
"PTPRA","0.000174913566923627","-0.0678659132925415","0.036","0.054","1","PTPRA"
"P2RX4","0.000175731806034238","-0.0229869020914993","0.037","0.055","1","P2RX4"
"TSSC1","0.000177651843229641","-0.0374876607562288","0.012","0.023","1","TSSC1"
"DYNC1I2","0.000178585591386727","-0.0410933431360022","0.061","0.085","1","DYNC1I2"
"UQCR11","0.0001791720909236","0.138435368562693","0.74","0.778","1","UQCR11"
"KCTD10","0.000179911768024763","-0.0249776112561062","0.01","0.019","1","KCTD10"
"FRG1B","0.00018088537830335","-0.0413849019894484","0.074","0.1","1","FRG1B"
"TTC7A","0.00018095284571174","0.182812192516225","0.054","0.034","1","TTC7A"
"AGAP3","0.000181956675815126","0.117797902926307","0.025","0.011","1","AGAP3"
"MKKS","0.000182441177411903","0.190069348138315","0.077","0.054","1","MKKS"
"MAD2L2","0.000183671623389336","-0.0423170416085742","0.052","0.074","1","MAD2L2"
"ZNF3","0.000183680617116151","-0.063330318292266","0.014","0.025","1","ZNF3"
"ZNF580","0.000185795121177145","-0.0525866997329875","0.054","0.075","1","ZNF580"
"SLC44A1","0.000186033020690807","0.145142320475109","0.038","0.021","1","SLC44A1"
"TIMM8B","0.0001907846903798","-0.0131204261359277","0.191","0.236","1","TIMM8B"
"SSB","0.000194145102920236","-0.026806141686452","0.109","0.141","1","SSB"
"PIGU","0.000194393686495265","-0.0450366543151405","0.004","0.01","1","PIGU"
"HES2","0.000197253159066983","-0.0132971370249731","0","0.002","1","HES2"
"C21orf128","0.000197506200814342","-0.0101650227193558","0","0.002","1","C21orf128"
"A2ML1","0.000197506200814342","-0.0104283627561264","0","0.002","1","A2ML1"
"ARHGEF4","0.000197506200814342","-0.0111227794280042","0","0.002","1","ARHGEF4"
"ASPN","0.000197506200814342","-0.0124488552943615","0","0.002","1","ASPN"
"RMND5B","0.000197754812182524","-0.0539569043819374","0.017","0.03","1","RMND5B"
"SPIC","0.00019775954753855","-0.00651728553956544","0","0.002","1","SPIC"
"MAP1LC3C","0.000197886335373523","-0.00952316035208123","0","0.002","1","MAP1LC3C"
"NBPF11","0.000198013199580614","-0.00539202139542481","0","0.002","1","NBPF11"
"MFAP4","0.000198013199580614","-0.00950614005293489","0","0.002","1","MFAP4"
"ZCCHC9","0.000199023423137759","-0.0682351572409471","0.019","0.033","1","ZCCHC9"
"MRPS28","0.000200127544425888","-0.0539710407665892","0.032","0.048","1","MRPS28"
"SCGB3A2","0.000200544634742335","-0.0280477282278879","0.004","0.01","1","SCGB3A2"
"NOTCH4","0.000200778332045614","-0.0316368974742732","0.006","0.014","1","NOTCH4"
"GSTO1","0.000201389697639303","-0.0229548065383227","0.321","0.383","1","GSTO1"
"KIAA1109","0.000202252168493286","-0.0460769931131486","0.027","0.042","1","KIAA1109"
"PPT1","0.000203865643497374","0.00432096689556527","0.194","0.241","1","PPT1"
"PLXND1","0.000206852537508777","0.133587020047335","0.046","0.028","1","PLXND1"
"ZNRD1","0.000208776616627777","-0.0471152094862558","0.035","0.053","1","ZNRD1"
"DDA1","0.000209984959489232","-0.0235801031867364","0.045","0.066","1","DDA1"
"GTF2E2","0.000210930506043642","-0.0446805720530896","0.03","0.046","1","GTF2E2"
"ATP6V1B2","0.000217758569851074","0.000275836294533316","0.101","0.133","1","ATP6V1B2"
"C6orf211","0.00021830217527546","-0.0444530213673392","0.019","0.033","1","C6orf211"
"RRAGA","0.000219518301390948","-0.0476969649275757","0.022","0.036","1","RRAGA"
"PYGL","0.000220167778624096","0.197109831461053","0.071","0.049","1","PYGL"
"RAB24","0.000221912668816342","-0.0396429549391781","0.01","0.019","1","RAB24"
"RFX2","0.000223260227001026","0.115799250830542","0.021","0.009","1","RFX2"
"PAPD4","0.000224317921877242","-0.0277802161462143","0.038","0.056","1","PAPD4"
"FAM127B","0.000227270359916425","-0.0678394951892258","0.014","0.024","1","FAM127B"
"EIF3I","0.000228028838618416","-0.0350779561123414","0.103","0.133","1","EIF3I"
"ZNF195","0.000229434190310843","-0.0362170156365115","0.009","0.018","1","ZNF195"
"PBXIP1","0.000230702017053459","-0.0416489962695598","0.015","0.026","1","PBXIP1"
"CXorf24","0.000231380872878262","-0.0180276627204574","0.002","0.006","1","CXorf24"
"PLEKHO2","0.000232433391193516","-0.034624976054803","0.022","0.036","1","PLEKHO2"
"TRPM2","0.000232676946024339","0.0815831494294807","0.014","0.004","1","TRPM2"
"PLXNB2","0.000233236447091801","-0.038590115311569","0.087","0.114","1","PLXNB2"
"MED29","0.0002334606122651","-0.0469252075710554","0.054","0.075","1","MED29"
"SPDYE2","0.00023454006402743","-0.0195067476954314","0.002","0.007","1","SPDYE2"
"TMEM50B","0.000235961005844935","-0.071302586190553","0.034","0.051","1","TMEM50B"
"NEDD8","0.0002369633962295","0.00692356983907216","0.417","0.495","1","NEDD8"
"TRIM13","0.000237428781365777","-0.0435857331275803","0.027","0.042","1","TRIM13"
"ZFAND5","0.000238191147918417","0.0113537517710884","0.251","0.307","1","ZFAND5"
"LRRC58","0.000241492023189945","0.135785192572431","0.039","0.022","1","LRRC58"
"SDF2","0.000241613752793668","-0.0400014566074995","0.048","0.068","1","SDF2"
"HGF","0.000246998643009637","-0.0541372161570046","0.012","0.022","1","HGF"
"SMIM4","0.000248508460208336","0.204204090855458","0.09","0.066","1","SMIM4"
"TPST2","0.000250007172675377","-0.0424672678913659","0.034","0.051","1","TPST2"
"HLX","0.000250122026684022","0.0841920573538441","0.016","0.005","1","HLX"
"CSNK2A3","0.00025040528343918","-0.0196323089908438","0.001","0.003","1","CSNK2A3"
"CCL23","0.000250423447364801","-0.0181936277020764","0.001","0.004","1","CCL23"
"ANKRD30BL","0.000251113872637184","-0.0149739908752576","0.001","0.003","1","ANKRD30BL"
"ELAVL1","0.00025223054065829","-0.0687170008790354","0.047","0.067","1","ELAVL1"
"IQCB1","0.000252269822868589","-0.038659629992823","0.01","0.019","1","IQCB1"
"RAB4A","0.00025250115823699","-0.0496916143187238","0.066","0.089","1","RAB4A"
"ARL5A","0.000252664391449615","-0.00166318415193478","0.108","0.14","1","ARL5A"
"PIGC","0.000253516492756417","-0.0454156684928936","0.025","0.039","1","PIGC"
"SLC35A1","0.000254302322426485","-0.0198216220123549","0.033","0.05","1","SLC35A1"
"CARD9","0.000257540602570609","-0.0531650264160301","0.026","0.041","1","CARD9"
"FAM207A","0.000257556379090943","-0.0119770017055148","0.042","0.061","1","FAM207A"
"SIGLEC5","0.000258572541317365","-0.0434742931663444","0.016","0.028","1","SIGLEC5"
"MSS51","0.000259455588092367","-0.0109469303523116","0.002","0.005","1","MSS51"
"PIN4","0.000259661970022518","0.00464624338519093","0.106","0.138","1","PIN4"
"PER1","0.000259701102454426","0.229062239630724","0.119","0.093","1","PER1"
"KREMEN2","0.00026034113766627","-0.0148960087325115","0","0.003","1","KREMEN2"
"SNTB2","0.000261123932687236","-0.0482003145179012","0.008","0.016","1","SNTB2"
"TCTN3","0.000266291595498954","-0.0330958090916382","0.008","0.016","1","TCTN3"
"ATAD5","0.000267873679864284","-0.0190857614680185","0.003","0.008","1","ATAD5"
"CLSPN","0.000268240932744699","-0.0160019237277005","0.001","0.005","1","CLSPN"
"SPATA6","0.000270148387946459","-0.0402156120634297","0.012","0.022","1","SPATA6"
"SLC40A1","0.000270432349761813","0.0910791199081343","0.016","0.005","1","SLC40A1"
"SMC1A","0.000272249555572711","-0.0379398047382649","0.042","0.061","1","SMC1A"
"EPSTI1","0.000273465305463372","-0.0361184077376071","0.041","0.059","1","EPSTI1"
"TIMP2","0.000275192074031297","0.22064934217408","0.113","0.088","1","TIMP2"
"PRPF18","0.000275726067119094","-0.0650576631979774","0.026","0.04","1","PRPF18"
"YIPF3","0.000276323200713988","-0.040269910453116","0.044","0.063","1","YIPF3"
"PPP1CC","0.000276763258065282","-0.0449473894030017","0.106","0.137","1","PPP1CC"
"ZRANB3","0.000279850253076446","-0.0274416265960952","0.002","0.007","1","ZRANB3"
"MT-ND4L","0.000282015574541376","0.0204430152739208","0.32","0.384","1","MT-ND4L"
"LY96","0.000283298329073842","0.260568558429845","0.276","0.257","1","LY96"
"DDX21","0.000284070348893619","-0.0236132813702654","0.143","0.179","1","DDX21"
"TBK1","0.000284260635316072","-0.0514575752822648","0.027","0.042","1","TBK1"
"MAF1","0.00028675837443539","-0.0290774129121398","0.076","0.101","1","MAF1"
"PTGIR","0.000287349179752551","-0.0321328888158261","0.035","0.053","1","PTGIR"
"ARSA","0.000288755019313463","-0.0340261091870739","0.017","0.029","1","ARSA"
"SCARB2","0.000290542499121206","-0.0568239432957724","0.038","0.056","1","SCARB2"
"DSC2","0.000290603867860933","0.0753504607783102","0.009","0.001","1","DSC2"
"B4GALT3","0.000292088039657804","-0.0492281199664928","0.012","0.022","1","B4GALT3"
"STEAP4","0.000292487627129062","0.0815418178565534","0.012","0.003","1","STEAP4"
"APEX2","0.000294935444067505","-0.0361461649727709","0.007","0.015","1","APEX2"
"SMS","0.000296490439807886","-0.0124786954502618","0.084","0.111","1","SMS"
"ANKH","0.000299192608087352","-0.0452065744242595","0.005","0.011","1","ANKH"
"CAMK2D","0.00030136794017985","0.0895069256005434","0.024","0.011","1","CAMK2D"
"LPP","0.000301648144159469","-0.042504197938734","0.05","0.07","1","LPP"
"LRRK1","0.000303516137245237","-0.0580440916120852","0.013","0.024","1","LRRK1"
"SLC39A6","0.000304244800316719","-0.0742241372118691","0.017","0.029","1","SLC39A6"
"CCDC167","0.000304308955716327","-0.0416719962355357","0.026","0.04","1","CCDC167"
"ELOF1","0.000305193160244577","-0.0681318694748538","0.072","0.096","1","ELOF1"
"RUNDC1","0.000305387646755113","-0.035464623313704","0.007","0.015","1","RUNDC1"
"EBLN2","0.000305870102700605","-0.0356656320626109","0.005","0.011","1","EBLN2"
"DNAJC3","0.000305966828575189","-0.0494326743077279","0.086","0.113","1","DNAJC3"
"MRPL43","0.000306871387229995","-0.0281879516557749","0.057","0.079","1","MRPL43"
"CBX6","0.000315155234506326","-0.055771318065402","0.084","0.111","1","CBX6"
