Module1.name,Module2.name,Module1.size,Module2.size,Module1.proportion.overlap,Module2.proportion.overlap,intersection.size,union.size,genome.size,p.value,odds.ratio,Jaccard.index,FDR,Bonferroni
mito,37,239,300,0.146,0.117,35,504,14827,2.29547703740199e-20,9.26859447719606,0.0694444444444445,5.50914488976477e-18,5.50914488976477e-18
oxphos,37,117,300,0.214,0.083,25,392,14827,6.39451460616617e-19,14.2482503385971,0.0637755102040816,7.6734175273994e-17,1.53468350547988e-16
MT-XXX,40,13,836,0.846,0.013,11,838,14827,1.20836206102573e-12,93.2055821917243,0.013126491646778,9.66689648820585e-11,2.90006894646176e-10
complex_I,37,64,300,0.188,0.04,12,352,14827,4.85292042752312e-09,11.5913008827341,0.0340909090909091,2.91175225651387e-07,1.16470090260555e-06
mito_sig,37,10,300,0.4,0.013,4,306,14827,3.13364190252142e-05,32.6747594872879,0.0130718954248366,0.00150414811321028,0.0075207405660514
mito,1,239,119,0.033,0.067,8,350,14827,0.000683773814020851,4.51591325026705,0.0228571428571429,0.027350952560834,0.164105715365004
complex_I,21,64,504,0.125,0.016,8,560,14827,0.00140110390593031,4.10842119253279,0.0142857142857143,0.048037848203325,0.336264937423275
oxphos,1,117,119,0.043,0.042,5,231,14827,0.00250941292999776,5.71409531078392,0.0216450216450216,0.0752823878999327,0.602259103199462
oxphos,21,117,504,0.085,0.02,10,611,14827,0.00653483481628361,2.68917530253731,0.016366612111293,0.174262261767563,1
mito,21,239,504,0.067,0.032,16,727,14827,0.00776428920157359,2.07292747326549,0.0220082530949106,0.186342940837766,1
complex_I,34,64,358,0.078,0.014,5,417,14827,0.019028579788333,3.45889883816136,0.0119904076738609,0.41516901356363,1
oxphos,34,117,358,0.06,0.02,7,468,14827,0.0233305531165396,2.60301573512794,0.014957264957265,0.466611062330793,1
complex_I,40,64,836,0.109,0.008,7,893,14827,0.0677891867380444,2.06402640159906,0.00783874580067189,0.957023812772391,1
mito_sig,30,10,561,0.2,0.004,2,569,14827,0.0525820513362459,6.37463414278074,0.00351493848857645,0.957023812772391,1
mito,35,239,446,0.05,0.027,12,673,14827,0.0579359245462133,1.72394421089038,0.0178306092124814,0.957023812772391,1
MT-XXX,4,13,75,0.077,0.013,1,87,14827,0.0638242485801845,16.5831054529553,0.0114942528735632,0.957023812772391,1
oxphos,40,117,836,0.094,0.013,11,942,14827,0.0658430195583924,1.74645288913893,0.0116772823779193,0.957023812772391,1
complex_I,47,64,387,0.016,0.003,1,450,14827,0.81664076412911,0.591223182194585,0.00222222222222222,1,1
complex_I,31,64,848,0.078,0.006,5,907,14827,0.302954586715099,1.39931017510248,0.00551267916207277,1,1
complex_I,6,64,88,0,0,0,152,14827,1,0,0,1,1
complex_I,2,64,127,0,0,0,191,14827,1,0,0,1,1
complex_I,15,64,192,0,0,0,256,14827,1,0,0,1,1
complex_I,3,64,119,0.016,0.008,1,182,14827,0.403593712686506,1.96987573473361,0.0054945054945055,1,1
complex_I,46,64,507,0,0,0,571,14827,1,0,0,1,1
complex_I,4,64,75,0,0,0,139,14827,1,0,0,1,1
complex_I,24,64,278,0.031,0.007,2,340,14827,0.338183858117661,1.69311243870527,0.00588235294117647,1,1
complex_I,8,64,495,0,0,0,559,14827,1,0,0,1,1
complex_I,29,64,384,0,0,0,448,14827,1,0,0,1,1
complex_I,30,64,561,0.031,0.004,2,623,14827,0.702750535361334,0.8196750004082,0.00321027287319422,1,1
complex_I,45,64,513,0.031,0.004,2,575,14827,0.654704647252018,0.89969635516642,0.00347826086956522,1,1
complex_I,26,64,724,0,0,0,788,14827,1,0,0,1,1
complex_I,18,64,133,0.016,0.008,1,196,14827,0.438931549218901,1.75928781629821,0.00510204081632653,1,1
complex_I,9,64,43,0,0,0,107,14827,1,0,0,1,1
complex_I,39,64,302,0.016,0.003,1,365,14827,0.732827770873649,0.762654899182146,0.00273972602739726,1,1
complex_I,36,64,173,0,0,0,237,14827,1,0,0,1,1
complex_I,17,64,107,0,0,0,171,14827,1,0,0,1,1
complex_I,1,64,119,0.031,0.017,2,181,14827,0.0934380087479842,4.03751387998384,0.0110497237569061,1,1
complex_I,5,64,131,0,0,0,195,14827,1,0,0,1,1
complex_I,13,64,281,0.016,0.004,1,344,14827,0.706887128288399,0.821041467365813,0.00290697674418605,1,1
complex_I,7,64,103,0,0,0,167,14827,1,0,0,1,1
complex_I,32,64,345,0,0,0,409,14827,1,0,0,1,1
complex_I,11,64,136,0,0,0,200,14827,1,0,0,1,1
complex_I,38,64,357,0,0,0,421,14827,1,0,0,1,1
complex_I,43,64,126,0.016,0.008,1,189,14827,0.4215281958771,1.85872940210819,0.00529100529100529,1,1
complex_I,23,64,701,0.016,0.001,1,764,14827,0.955241083959942,0.318904067940001,0.00130890052356021,1,1
complex_I,19,64,157,0,0,0,221,14827,1,0,0,1,1
complex_I,48,64,96,0,0,0,160,14827,1,0,0,1,1
complex_I,35,64,446,0.062,0.009,4,506,14827,0.126332163415524,2.15987332102878,0.00790513833992095,1,1
complex_I,25,64,147,0,0,0,211,14827,1,0,0,1,1
complex_I,33,64,114,0,0,0,178,14827,1,0,0,1,1
complex_I,44,64,760,0.031,0.003,2,822,14827,0.846922108782592,0.596014994916333,0.0024330900243309,1,1
complex_I,28,64,188,0.016,0.005,1,251,14827,0.558877354541821,1.23722427308469,0.00398406374501992,1,1
complex_I,22,64,252,0,0,0,316,14827,1,0,0,1,1
complex_I,14,64,47,0,0,0,111,14827,1,0,0,1,1
complex_I,16,64,428,0,0,0,492,14827,1,0,0,1,1
complex_I,42,64,357,0,0,0,421,14827,1,0,0,1,1
complex_I,41,64,474,0.031,0.004,2,536,14827,0.611383371856699,0.976696429851506,0.00373134328358209,1,1
complex_I,10,64,104,0,0,0,168,14827,1,0,0,1,1
complex_I,12,64,749,0.047,0.004,3,810,14827,0.634077451796479,0.924079946214272,0.0037037037037037,1,1
complex_I,27,64,45,0,0,0,109,14827,1,0,0,1,1
complex_I,20,64,87,0,0,0,151,14827,1,0,0,1,1
mito_sig,47,10,387,0,0,0,397,14827,1,0,0,1,1
mito_sig,31,10,848,0.1,0.001,1,857,14827,0.445185018351309,1.83245795426148,0.00116686114352392,1,1
mito_sig,6,10,88,0,0,0,98,14827,1,0,0,1,1
mito_sig,2,10,127,0,0,0,137,14827,1,0,0,1,1
mito_sig,15,10,192,0,0,0,202,14827,1,0,0,1,1
mito_sig,3,10,119,0,0,0,129,14827,1,0,0,1,1
mito_sig,46,10,507,0,0,0,517,14827,1,0,0,1,1
mito_sig,4,10,75,0,0,0,85,14827,1,0,0,1,1
mito_sig,24,10,278,0,0,0,288,14827,1,0,0,1,1
mito_sig,8,10,495,0,0,0,505,14827,1,0,0,1,1
mito_sig,29,10,384,0,0,0,394,14827,1,0,0,1,1
mito_sig,45,10,513,0,0,0,523,14827,1,0,0,1,1
mito_sig,26,10,724,0,0,0,734,14827,1,0,0,1,1
mito_sig,18,10,133,0,0,0,143,14827,1,0,0,1,1
mito_sig,9,10,43,0,0,0,53,14827,1,0,0,1,1
