Module1.name,Module2.name,Module1.size,Module2.size,Module1.proportion.overlap,Module2.proportion.overlap,intersection.size,union.size,genome.size,p.value,odds.ratio,Jaccard.index,FDR,Bonferroni
mito_sig,39,10,302,0,0,0,312,14827,1,0,0,1,1
mito_sig,36,10,173,0,0,0,183,14827,1,0,0,1,1
mito_sig,17,10,107,0,0,0,117,14827,1,0,0,1,1
mito_sig,21,10,504,0,0,0,514,14827,1,0,0,1,1
mito_sig,1,10,119,0.1,0.008,1,128,14827,0.0774441493767653,13.8356132611035,0.0078125,1,1
mito_sig,5,10,131,0,0,0,141,14827,1,0,0,1,1
mito_sig,13,10,281,0,0,0,291,14827,1,0,0,1,1
mito_sig,7,10,103,0,0,0,113,14827,1,0,0,1,1
mito_sig,32,10,345,0,0,0,355,14827,1,0,0,1,1
mito_sig,11,10,136,0,0,0,146,14827,1,0,0,1,1
mito_sig,38,10,357,0,0,0,367,14827,1,0,0,1,1
mito_sig,43,10,126,0,0,0,136,14827,1,0,0,1,1
mito_sig,23,10,701,0,0,0,711,14827,1,0,0,1,1
mito_sig,19,10,157,0,0,0,167,14827,1,0,0,1,1
mito_sig,48,10,96,0,0,0,106,14827,1,0,0,1,1
mito_sig,35,10,446,0,0,0,456,14827,1,0,0,1,1
mito_sig,25,10,147,0,0,0,157,14827,1,0,0,1,1
mito_sig,33,10,114,0,0,0,124,14827,1,0,0,1,1
mito_sig,44,10,760,0,0,0,770,14827,1,0,0,1,1
mito_sig,28,10,188,0,0,0,198,14827,1,0,0,1,1
mito_sig,40,10,836,0,0,0,846,14827,1,0,0,1,1
mito_sig,34,10,358,0.1,0.003,1,367,14827,0.216895600385596,4.49934519359308,0.00272479564032698,1,1
mito_sig,22,10,252,0,0,0,262,14827,1,0,0,1,1
mito_sig,14,10,47,0,0,0,57,14827,1,0,0,1,1
mito_sig,16,10,428,0,0,0,438,14827,1,0,0,1,1
mito_sig,42,10,357,0,0,0,367,14827,1,0,0,1,1
mito_sig,41,10,474,0.1,0.002,1,483,14827,0.277479082133514,3.36898199985224,0.0020703933747412,1,1
mito_sig,10,10,104,0,0,0,114,14827,1,0,0,1,1
mito_sig,12,10,749,0,0,0,759,14827,1,0,0,1,1
mito_sig,27,10,45,0,0,0,55,14827,1,0,0,1,1
mito_sig,20,10,87,0,0,0,97,14827,1,0,0,1,1
mito,47,239,387,0.021,0.013,5,621,14827,0.751432544409227,0.794635257587188,0.00805152979066022,1,1
mito,31,239,848,0.063,0.018,15,1072,14827,0.393118287431009,1.10573394147557,0.0139925373134328,1,1
mito,6,239,88,0.004,0.011,1,326,14827,0.761717141499925,0.700342274916522,0.00306748466257669,1,1
mito,2,239,127,0.004,0.008,1,365,14827,0.874156254854239,0.482276627098133,0.00273972602739726,1,1
mito,15,239,192,0,0,0,431,14827,1,0,0,1,1
mito,3,239,119,0.017,0.034,4,354,14827,0.126130731035312,2.14201779491116,0.0112994350282486,1,1
mito,46,239,507,0.033,0.016,8,738,14827,0.574915178230797,0.977818525478519,0.010840108401084,1,1
mito,4,239,75,0.004,0.013,1,313,14827,0.705321230195975,0.824106857426735,0.00319488817891374,1,1
mito,24,239,278,0.025,0.022,6,511,14827,0.29224874880317,1.35530569553924,0.0117416829745597,1,1
mito,8,239,495,0.021,0.01,5,729,14827,0.904857105526152,0.61478492409913,0.00685871056241427,1,1
mito,29,239,384,0.017,0.01,4,619,14827,0.870387901975779,0.636429328724979,0.00646203554119548,1,1
mito,30,239,561,0.042,0.018,10,790,14827,0.418339792559415,1.11245820246249,0.0126582278481013,1,1
mito,45,239,513,0.038,0.018,9,743,14827,0.445887982735814,1.09345870558967,0.0121130551816958,1,1
mito,26,239,724,0.025,0.008,6,957,14827,0.97828018155361,0.497450024409893,0.00626959247648903,1,1
mito,18,239,133,0.004,0.008,1,371,14827,0.885946069416637,0.460164678147392,0.00269541778975741,1,1
mito,9,239,43,0.008,0.047,2,280,14827,0.152377259358526,2.993692924076,0.00714285714285714,1,1
mito,39,239,302,0.025,0.02,6,535,14827,0.360424022758117,1.24333694458565,0.011214953271028,1,1
mito,36,239,173,0,0,0,412,14827,1,0,0,1,1
mito,17,239,107,0,0,0,346,14827,1,0,0,1,1
mito,5,239,131,0.004,0.008,1,369,14827,0.882143736034424,0.467308545826311,0.002710027100271,1,1
mito,13,239,281,0.029,0.025,7,513,14827,0.169341741475474,1.57615278556036,0.01364522417154,1,1
mito,7,239,103,0,0,0,342,14827,1,0,0,1,1
mito,32,239,345,0.008,0.006,2,582,14827,0.976664753960718,0.35048505451689,0.00343642611683849,1,1
mito,11,239,136,0.004,0.007,1,374,14827,0.891421716409139,0.449845745945495,0.00267379679144385,1,1
mito,38,239,357,0.008,0.006,2,594,14827,0.980309286559548,0.338352703844042,0.00336700336700337,1,1
mito,43,239,126,0.008,0.016,2,363,14827,0.605721944402504,0.984348389544928,0.00550964187327824,1,1
mito,23,239,701,0.021,0.007,5,935,14827,0.989541281245845,0.426507916042868,0.0053475935828877,1,1
mito,19,239,157,0.008,0.013,2,394,14827,0.723083064424908,0.785801127930347,0.0050761421319797,1,1
mito,48,239,96,0,0,0,335,14827,1,0,0,1,1
mito,25,239,147,0.008,0.014,2,384,14827,0.688832673403848,0.840573364598777,0.00520833333333333,1,1
mito,33,239,114,0.008,0.018,2,351,14827,0.551181781151537,1.09070632126605,0.0056980056980057,1,1
mito,44,239,760,0.054,0.017,13,986,14827,0.453597891250965,1.06584111743236,0.013184584178499,1,1
mito,28,239,188,0.008,0.011,2,425,14827,0.809638228274188,0.653433125371958,0.00470588235294118,1,1
mito,40,239,836,0.029,0.008,7,1068,14827,0.983519390939478,0.500770756265301,0.00655430711610487,1,1
mito,34,239,358,0.029,0.02,7,590,14827,0.356122113194118,1.22381070698025,0.011864406779661,1,1
mito,22,239,252,0.013,0.012,3,488,14827,0.775719474200964,0.732042113804516,0.00614754098360656,1,1
mito,14,239,47,0,0,0,286,14827,1,0,0,1,1
mito,16,239,428,0.013,0.007,3,664,14827,0.970627792240319,0.423636042850024,0.00451807228915663,1,1
mito,42,239,357,0.008,0.006,2,594,14827,0.980309286559548,0.338352703844042,0.00336700336700337,1,1
mito,41,239,474,0.025,0.013,6,707,14827,0.78026395560894,0.776943303297841,0.00848656294200849,1,1
mito,10,239,104,0.013,0.029,3,340,14827,0.235541835730426,1.82333053245775,0.00882352941176471,1,1
mito,12,239,749,0.042,0.013,10,978,14827,0.772913515703999,0.818353698974543,0.0102249488752556,1,1
mito,27,239,45,0.004,0.022,1,283,14827,0.519232638566976,1.38878544152716,0.00353356890459364,1,1
mito,20,239,87,0.004,0.011,1,325,14827,0.757789853507269,0.708534270214302,0.00307692307692308,1,1
MT-XXX,47,13,387,0,0,0,400,14827,1,0,0,1,1
MT-XXX,31,13,848,0.077,0.001,1,860,14827,0.535101708001083,1.37411753980616,0.00116279069767442,1,1
MT-XXX,6,13,88,0,0,0,101,14827,1,0,0,1,1
MT-XXX,2,13,127,0,0,0,140,14827,1,0,0,1,1
MT-XXX,15,13,192,0,0,0,205,14827,1,0,0,1,1
MT-XXX,3,13,119,0,0,0,132,14827,1,0,0,1,1
MT-XXX,46,13,507,0,0,0,520,14827,1,0,0,1,1
MT-XXX,24,13,278,0,0,0,291,14827,1,0,0,1,1
MT-XXX,8,13,495,0,0,0,508,14827,1,0,0,1,1
MT-XXX,29,13,384,0,0,0,397,14827,1,0,0,1,1
MT-XXX,30,13,561,0,0,0,574,14827,1,0,0,1,1
MT-XXX,45,13,513,0,0,0,526,14827,1,0,0,1,1
MT-XXX,26,13,724,0,0,0,737,14827,1,0,0,1,1
MT-XXX,18,13,133,0,0,0,146,14827,1,0,0,1,1
MT-XXX,9,13,43,0,0,0,56,14827,1,0,0,1,1
MT-XXX,39,13,302,0,0,0,315,14827,1,0,0,1,1
MT-XXX,36,13,173,0,0,0,186,14827,1,0,0,1,1
MT-XXX,17,13,107,0,0,0,120,14827,1,0,0,1,1
MT-XXX,21,13,504,0,0,0,517,14827,1,0,0,1,1
MT-XXX,1,13,119,0,0,0,132,14827,1,0,0,1,1
MT-XXX,5,13,131,0,0,0,144,14827,1,0,0,1,1
MT-XXX,37,13,300,0,0,0,313,14827,1,0,0,1,1
MT-XXX,13,13,281,0,0,0,294,14827,1,0,0,1,1
MT-XXX,7,13,103,0,0,0,116,14827,1,0,0,1,1
MT-XXX,32,13,345,0,0,0,358,14827,1,0,0,1,1
MT-XXX,11,13,136,0,0,0,149,14827,1,0,0,1,1
MT-XXX,38,13,357,0,0,0,370,14827,1,0,0,1,1
MT-XXX,43,13,126,0,0,0,139,14827,1,0,0,1,1
MT-XXX,23,13,701,0,0,0,714,14827,1,0,0,1,1
MT-XXX,19,13,157,0,0,0,170,14827,1,0,0,1,1
MT-XXX,48,13,96,0,0,0,109,14827,1,0,0,1,1
MT-XXX,35,13,446,0,0,0,459,14827,1,0,0,1,1
MT-XXX,25,13,147,0,0,0,160,14827,1,0,0,1,1
MT-XXX,33,13,114,0,0,0,127,14827,1,0,0,1,1
MT-XXX,44,13,760,0,0,0,773,14827,1,0,0,1,1
MT-XXX,28,13,188,0,0,0,201,14827,1,0,0,1,1
MT-XXX,34,13,358,0,0,0,371,14827,1,0,0,1,1
MT-XXX,22,13,252,0,0,0,265,14827,1,0,0,1,1
MT-XXX,14,13,47,0,0,0,60,14827,1,0,0,1,1
MT-XXX,16,13,428,0,0,0,441,14827,1,0,0,1,1
MT-XXX,42,13,357,0,0,0,370,14827,1,0,0,1,1
MT-XXX,41,13,474,0,0,0,487,14827,1,0,0,1,1
MT-XXX,10,13,104,0,0,0,117,14827,1,0,0,1,1
MT-XXX,12,13,749,0,0,0,762,14827,1,0,0,1,1
MT-XXX,27,13,45,0,0,0,58,14827,1,0,0,1,1
MT-XXX,20,13,87,0,0,0,100,14827,1,0,0,1,1
oxphos,47,117,387,0.009,0.003,1,503,14827,0.955252225305649,0.319918538974571,0.00198807157057654,1,1
oxphos,31,117,848,0.06,0.008,7,958,14827,0.506954556219429,1.04944797097641,0.00730688935281837,1,1
oxphos,6,117,88,0.009,0.011,1,204,14827,0.503029581552099,1.44889115162285,0.00490196078431373,1,1
oxphos,2,117,127,0,0,0,244,14827,1,0,0,1,1
oxphos,15,117,192,0,0,0,309,14827,1,0,0,1,1
oxphos,3,117,119,0.017,0.017,2,234,14827,0.241630446608243,2.16906080379621,0.00854700854700855,1,1
oxphos,46,117,507,0,0,0,624,14827,1,0,0,1,1
oxphos,4,117,75,0,0,0,192,14827,1,0,0,1,1
oxphos,24,117,278,0.017,0.007,2,393,14827,0.647801745836994,0.909520271906865,0.00508905852417303,1,1
oxphos,8,117,495,0.017,0.004,2,610,14827,0.906005251689962,0.501539024674193,0.00327868852459016,1,1
oxphos,29,117,384,0,0,0,501,14827,1,0,0,1,1
oxphos,30,117,561,0.034,0.007,4,674,14827,0.650941030212285,0.899450975906932,0.00593471810089021,1,1
oxphos,45,117,513,0.026,0.006,3,627,14827,0.775147933883865,0.732724963352761,0.00478468899521531,1,1
oxphos,26,117,724,0.017,0.003,2,839,14827,0.980297427601421,0.336954106250773,0.00238379022646007,1,1
oxphos,18,117,133,0.009,0.008,1,249,14827,0.652990885524137,0.952066814047339,0.00401606425702811,1,1
oxphos,9,117,43,0,0,0,160,14827,1,0,0,1,1
oxphos,39,117,302,0.017,0.007,2,417,14827,0.692179689944406,0.835371299429547,0.00479616306954436,1,1
oxphos,36,117,173,0,0,0,290,14827,1,0,0,1,1
oxphos,17,117,107,0,0,0,224,14827,1,0,0,1,1
oxphos,5,117,131,0,0,0,248,14827,1,0,0,1,1
oxphos,13,117,281,0.026,0.011,3,395,14827,0.382704764421162,1.36609617179858,0.00759493670886076,1,1
oxphos,7,117,103,0,0,0,220,14827,1,0,0,1,1
oxphos,32,117,345,0,0,0,462,14827,1,0,0,1,1
oxphos,11,117,136,0.009,0.007,1,252,14827,0.661214725580721,0.930719536972145,0.00396825396825397,1,1
oxphos,38,117,357,0.009,0.003,1,473,14827,0.942897726171652,0.347603762774608,0.00211416490486258,1,1
oxphos,43,117,126,0.009,0.008,1,242,14827,0.633024210007827,1.00586214184317,0.00413223140495868,1,1
oxphos,23,117,701,0.009,0.001,1,817,14827,0.996618612677458,0.172547033806133,0.00122399020807834,1,1
oxphos,19,117,157,0,0,0,274,14827,1,0,0,1,1
oxphos,48,117,96,0,0,0,213,14827,1,0,0,1,1
oxphos,35,117,446,0.034,0.009,4,559,14827,0.469673303356893,1.1426620411105,0.00715563506261181,1,1
oxphos,25,117,147,0,0,0,264,14827,1,0,0,1,1
oxphos,33,117,114,0,0,0,231,14827,1,0,0,1,1
oxphos,44,117,760,0.068,0.011,8,869,14827,0.251333592429175,1.3622435759772,0.00920598388952819,1,1
oxphos,28,117,188,0.009,0.005,1,304,14827,0.776625172700121,0.669524195612134,0.00328947368421053,1,1
oxphos,22,117,252,0.026,0.012,3,366,14827,0.320154623401859,1.52823856495932,0.00819672131147541,1,1
oxphos,14,117,47,0,0,0,164,14827,1,0,0,1,1
oxphos,16,117,428,0.009,0.002,1,544,14827,0.967958830989476,0.288373250924154,0.00183823529411765,1,1
oxphos,42,117,357,0,0,0,474,14827,1,0,0,1,1
oxphos,41,117,474,0.026,0.006,3,588,14827,0.727155548529647,0.795573394575964,0.00510204081632653,1,1
oxphos,10,117,104,0.009,0.01,1,220,14827,0.562556067286325,1.22252702746614,0.00454545454545455,1,1
oxphos,12,117,749,0.026,0.004,3,863,14827,0.93929754482802,0.492597578618386,0.00347624565469293,1,1
oxphos,27,117,45,0,0,0,162,14827,1,0,0,1,1
oxphos,20,117,87,0.009,0.011,1,203,14827,0.499053274436025,1.46583619426108,0.00492610837438424,1,1
