gene.symbol	module
SQSTM1	mito
TOMM7	mito
TSPO	mito
VDAC1	mito
NDUFA1	oxphos
NDUFA2	oxphos
NDUFA3	oxphos
NDUFA4	oxphos
NDUFA5	oxphos
NDUFA6	oxphos
NDUFA7	oxphos
NDUFA8	oxphos
NDUFA9	oxphos
NDUFA10	oxphos
NDUFA11	oxphos
NDUFA12	oxphos
NDUFA13	oxphos
NDUFAB1	oxphos
NDUFAF1	oxphos
NDUFB1	oxphos
NDUFB2	oxphos
NDUFB3	oxphos
NDUFB4	oxphos
NDUFB5	oxphos
NDUFB6	oxphos
NDUFB7	oxphos
NDUFB8	oxphos
NDUFB9	oxphos
NDUFB10	oxphos
NDUFB11	oxphos
NDUFC1	oxphos
NDUFC2	oxphos
NDUFS1	oxphos
NDUFS2	oxphos
NDUFS3	oxphos
NDUFS4	oxphos
NDUFS5	oxphos
NDUFS6	oxphos
NDUFS7	oxphos
NDUFS8	oxphos
NDUFV1	oxphos
NDUFV2	oxphos
NDUFV3	oxphos
MT-ND1	oxphos
MT-ND2	oxphos
MT-ND3	oxphos
MT-ND4	oxphos
MT-ND4L	oxphos
MT-ND5	oxphos
MT-ND6	oxphos
ACAD9	oxphos
ATP5SL	oxphos
BCS1L	oxphos
COA1	oxphos
ECSIT	oxphos
FOXRED1	oxphos
NDUFAF2	oxphos
NDUFAF3	oxphos
NDUFAF4	oxphos
NDUFAF5	oxphos
NDUFAF6	oxphos
NDUFAF7	oxphos
NUBPL	oxphos
OXA1L	oxphos
PARK7	oxphos
TIMM21	oxphos
TIMMDC1	oxphos
TMEM126B	oxphos
SDHA	oxphos
SDHB	oxphos
SDHC	oxphos
SDHD	oxphos
SDHAF1	oxphos
SDHAF2	oxphos
CYC1	oxphos
CYCS	oxphos
UQCR10	oxphos
UQCRB	oxphos
UQCRC1	oxphos
UQCRC2	oxphos
UQCRFS1	oxphos
UQCRH	oxphos
UQCRQ	oxphos
MT-CYB	oxphos
LYRM7	oxphos
PMPCB	oxphos
SLC25A33	oxphos
TTC19	oxphos
UQCR11	oxphos
COX4I1	oxphos
COX5A	oxphos
COX5B	oxphos
COX6A1	oxphos
COX7B	oxphos
COX7C	oxphos
COX8A	oxphos
MT-CO1	oxphos
