gene_short_name,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
C1S,OK,dxPD,-18.267144,2202.1240828,-0.0083,0.993,-0.0459715415970969,count,1
C5orf54,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
C6orf141,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
CDX1,OK,dxPD,-18.267144,2202.1240828,-0.0083,0.993,-0.0459715415970969,count,1
CHRM2,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
CHRNA4,OK,dxPD,-18.267144,2202.1240828,-0.0083,0.993,-0.0459715415970969,count,1
COL25A1,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
COL6A5,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
DNAH2,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
DUSP15,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
DYDC1,OK,dxPD,-18.267144,2202.1240828,-0.0083,0.993,-0.0459715415970969,count,1
ENPP3,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
FAM110C,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
FAM149A,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
FAM163A,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
FAM222A,OK,dxPD,-18.267144,2202.1240828,-0.0083,0.993,-0.0459715415970969,count,1
FBXL7,OK,dxPD,-18.267144,2202.1240828,-0.0083,0.993,-0.0459715415970969,count,1
FCN2,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
FEZF2,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
FGF4,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
GPR88,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
GRM7,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
HAVCR1,OK,dxPD,-18.267144,2202.1240828,-0.0083,0.993,-0.0459715415970969,count,1
HSPA4L,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
IL1RL1,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
ISM2,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
LCTL,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
LRP1B,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
LRRD1,OK,dxPD,-18.267144,2202.1240828,-0.0083,0.993,-0.0459715415970969,count,1
MIA,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
NKX2-1,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
NOMO2,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
NPVF,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
PCSK9,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
POTEF,OK,dxPD,-18.267144,2202.1240828,-0.0083,0.993,-0.0459715415970969,count,1
PTGER3,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
PTPRZ1,OK,dxPD,-18.267144,2202.1240828,-0.0083,0.993,-0.0459715415970969,count,1
PTTG2,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
RASD2,OK,dxPD,-18.267144,2202.1240828,-0.0083,0.993,-0.0459715415970969,count,1
RELN,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
RGS20,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
RXFP2,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
SEMA5B,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
SGCD,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
SI,OK,dxPD,-18.267144,2202.1240828,-0.0083,0.993,-0.0459715415970969,count,1
SLAMF9,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
SMCO3,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
SORCS2,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
SPTLC3,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
THEMIS,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
TMC1,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
TNK1,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
TNNI1,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
TRIM32,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
TRIM9,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
TSPEAR,OK,dxPD,-18.267144,2202.1240828,-0.0083,0.993,-0.0459715415970969,count,1
USP18,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
VGF,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
ZNF233,OK,dxPD,-18.267144,1557.0108033,-0.0117,0.991,-0.0459715415970969,count,1
ZNF571,OK,dxPD,-18.267144,2202.1240828,-0.0083,0.993,-0.0459715415970969,count,1
NCAM2,OK,dxPD,-18.18343,1117.2571352,-0.0163,0.987,-0.112293717054247,count,1
PARD6G,OK,dxPD,-18.18343,1266.931943,-0.0144,0.989,-0.112293717054247,count,1
PFN2,OK,dxPD,-18.18343,1266.931943,-0.0144,0.989,-0.112293717054247,count,1
SELP,OK,dxPD,-18.18343,1117.2571352,-0.0163,0.987,-0.112293717054247,count,1
RFPL4A,OK,dxPD,-18.138946,572.28186,-0.0317,0.975,-0.275553107582908,count,1
AICDA,OK,dxPD,-17.960292,1493.2360296,-0.012,0.99,-0.0905233060375772,count,1
AQP11,OK,dxPD,-17.960292,944.2218535,-0.019,0.985,-0.0905233060375772,count,1
CCNJL,OK,dxPD,-17.960292,1493.2360296,-0.012,0.99,-0.0905233060375772,count,1
DUSP8,OK,dxPD,-17.960292,944.2218535,-0.019,0.985,-0.0905233060375772,count,1
EFCAB12,OK,dxPD,-17.960292,1156.555757,-0.0155,0.988,-0.0905233060375772,count,1
HTRA4,OK,dxPD,-17.960292,944.2218535,-0.019,0.985,-0.0905233060375772,count,1
KCNA1,OK,dxPD,-17.960292,1156.555757,-0.0155,0.988,-0.0905233060375772,count,1
LGALS9B,OK,dxPD,-17.960292,1156.555757,-0.0155,0.988,-0.0905233060375772,count,1
PCSK2,OK,dxPD,-17.960292,1156.555757,-0.0155,0.988,-0.0905233060375772,count,1
PP2D1,OK,dxPD,-17.960292,1493.2360296,-0.012,0.99,-0.0905233060375772,count,1
SLC38A11,OK,dxPD,-17.960292,1156.555757,-0.0155,0.988,-0.0905233060375772,count,1
ACE2,OK,dxPD,-17.672609,944.2983446,-0.0187,0.985,-0.0684193923326792,count,1
BIRC7,OK,dxPD,-17.672609,944.2983446,-0.0187,0.985,-0.0684193923326792,count,1
CAMSAP3,OK,dxPD,-17.672609,1219.2023877,-0.0145,0.988,-0.0684193923326792,count,1
CCDC67,OK,dxPD,-17.672609,944.2983446,-0.0187,0.985,-0.0684193923326792,count,1
CNTNAP3B,OK,dxPD,-17.672609,1219.2023877,-0.0145,0.988,-0.0684193923326792,count,1
DACT1,OK,dxPD,-17.672609,944.2983446,-0.0187,0.985,-0.0684193923326792,count,1
DSG4,OK,dxPD,-17.672609,944.2983446,-0.0187,0.985,-0.0684193923326792,count,1
EDAR,OK,dxPD,-17.672609,944.2983446,-0.0187,0.985,-0.0684193923326792,count,1
FAP,OK,dxPD,-17.672609,1219.2023877,-0.0145,0.988,-0.0684193923326792,count,1
FCRL5,OK,dxPD,-17.672609,944.2983446,-0.0187,0.985,-0.0684193923326792,count,1
FETUB,OK,dxPD,-17.672609,944.2983446,-0.0187,0.985,-0.0684193923326792,count,1
GAS1,OK,dxPD,-17.672609,944.2983446,-0.0187,0.985,-0.0684193923326792,count,1
GINS1,OK,dxPD,-17.672609,944.2983446,-0.0187,0.985,-0.0684193923326792,count,1
GLB1L3,OK,dxPD,-17.672609,1219.2023877,-0.0145,0.988,-0.0684193923326792,count,1
GRK7,OK,dxPD,-17.672609,1635.8376018,-0.0108,0.991,-0.0684193923326792,count,1
GRM8,OK,dxPD,-17.672609,1219.2023877,-0.0145,0.988,-0.0684193923326792,count,1
INHBE,OK,dxPD,-17.672609,1219.2023877,-0.0145,0.988,-0.0684193923326792,count,1
KLC3,OK,dxPD,-17.672609,944.2983446,-0.0187,0.985,-0.0684193923326792,count,1
LPAR3,OK,dxPD,-17.672609,944.2983446,-0.0187,0.985,-0.0684193923326792,count,1
NPAS4,OK,dxPD,-17.672609,1219.2023877,-0.0145,0.988,-0.0684193923326792,count,1
RGPD2,OK,dxPD,-17.672609,944.2983446,-0.0187,0.985,-0.0684193923326792,count,1
SLC35F2,OK,dxPD,-17.672609,944.2983446,-0.0187,0.985,-0.0684193923326792,count,1
SLC5A9,OK,dxPD,-17.672609,944.2983446,-0.0187,0.985,-0.0684193923326792,count,1
SLITRK3,OK,dxPD,-17.672609,1219.2023877,-0.0145,0.988,-0.0684193923326792,count,1
SPINK2,OK,dxPD,-17.672609,944.2983446,-0.0187,0.985,-0.0684193923326792,count,1
TF,OK,dxPD,-17.672609,944.2983446,-0.0187,0.985,-0.0684193923326792,count,1
TM4SF18,OK,dxPD,-17.672609,1219.2023877,-0.0145,0.988,-0.0684193923326792,count,1
WDR72,OK,dxPD,-17.672609,944.2983446,-0.0187,0.985,-0.0684193923326792,count,1
ABCA4,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
ABLIM3,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
ADAMTS16,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
ADAMTSL3,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
AGAP7,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
ANO4,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
APOBEC4,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
ARHGEF38,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
ATP2B2,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
BEND5,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
BEST3,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
C10orf71,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
C14orf105,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
C17orf99,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
C19orf71,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
C2orf16,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
C7orf25,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
C7orf63,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
CA5A,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
CARNS1,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
CAV2,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
CCDC42,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
CCL8,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
CCNI2,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
CLEC4C,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
CNGA2,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
CNGA4,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
CNNM1,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
CR1L,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
CXCL17,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
CXCR1,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
DDR1,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
DGKI,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
DLX3,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
DMRT1,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
EGF,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
ELFN1,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
ELFN2,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
EPCAM,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
ESPNL,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
FABP3,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
FAM154A,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
FOLH1,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
GABRB2,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
GABRB3,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
GDF5OS,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
GPX8,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
GRHL2,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
GRM4,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
HSD17B6,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
IFITM5,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
IFNLR1,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
IGFN1,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
IL17D,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
JAM3,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
KANK4,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
KCNK12,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
KIR2DL4,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
KLHL34,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
KRT80,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
LPAR4,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
LRRC73,OK,dxPD,-17.573997,1557.1369238,-0.0113,0.991,-0.0231688775861086,count,1
