gene_short_name,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
LYZ,OK,dxPD,-0.4342474,0.0347679,-12.4899,1.99e-34,-0.624900324823738,count,2.950573e-30
TXNDC15,OK,dxPD,2.351755,0.2016607,11.6619,2.24e-30,3.2589305569522,count,3.321024e-26
CD52,OK,dxPD,-0.3260662,0.0281162,-11.5971,4.55e-30,-0.469554100058823,count,6.745375e-26
FTH1,OK,dxPD,0.1573563,0.0157961,9.9617,8.31e-23,0.226919423226059,count,1.2318744e-18
EMP3,OK,dxPD,-0.2778568,0.0361112,-7.6945,2.29e-14,-0.399044255652082,count,3.394467e-10
HLA-DRB5,OK,dxPD,-0.4900922,0.0651375,-7.524,8.25e-14,-0.696512480662951,count,1.222815e-09
S100A11,OK,dxPD,-0.1781144,0.0249919,-7.1269,1.47e-12,-0.256263729190972,count,2.178687e-08
FTL,OK,dxPD,0.103468,0.0145616,7.1056,1.7e-12,0.149229903505316,count,2.5194e-08
UBC,OK,dxPD,0.3262795,0.0503438,6.481,1.17e-10,0.465607999728218,count,1.733823e-06
S100A8,OK,dxPD,-0.1895067,0.0294534,-6.4341,1.58e-10,-0.272783512785028,count,2.341244e-06
RPL21,OK,dxPD,0.1094916,0.017147,6.3855,2.16e-10,0.157784042281483,count,3.200472e-06
C1QA,OK,dxPD,0.9175687,0.1528551,6.0029,2.33e-09,1.26161609976624,count,3.452128e-05
IFITM2,OK,dxPD,0.2148474,0.037093,5.7921,8.15e-09,0.308642034246454,count,0.00012074225
FCGR3A,OK,dxPD,-0.2492681,0.0431334,-5.779,8.8e-09,-0.356941383905377,count,0.0001303632
MT-ND3,OK,dxPD,0.1694525,0.029873,5.6724,1.63e-08,0.243600637976883,count,0.0002414519
GIMAP7,OK,dxPD,-1.144247,0.206253,-5.5478,3.31e-08,-1.41351509747246,count,0.0004902772
FBP1,OK,dxPD,-0.6691889,0.1232273,-5.4305,6.36e-08,-0.906738845800164,count,0.0009419796
TMSB4X,OK,dxPD,-0.0608037,0.0113661,-5.3496,9.91e-08,-0.0877026461794214,count,0.001467671
CDKN2D,OK,dxPD,0.4558177,0.0900519,5.0617,4.57e-07,0.63702328175576,count,0.006767713
CXCL16,OK,dxPD,0.7210626,0.1430067,5.0422,5.05e-07,0.963814681436544,count,0.00747804
ACTR3,OK,dxPD,-0.4596025,0.0929492,-4.9447,8.32e-07,-0.637317796216514,count,0.012319424
CD55,OK,dxPD,-0.5366653,0.1085892,-4.9422,8.42e-07,-0.738872409799633,count,0.012466652
SNRPG,OK,dxPD,-0.4173782,0.0849145,-4.9153,9.65e-07,-0.583970561798276,count,0.014286825
DYNLL1,OK,dxPD,-0.3719488,0.0757894,-4.9077,1e-06,-0.523313701691056,count,0.014804
UBL5,OK,dxPD,-0.2590721,0.0546935,-4.7368,2.34e-06,-0.36838406774706,count,0.03463902
FCER1G,OK,dxPD,-0.0980347,0.0208763,-4.696,2.85e-06,-0.141196036803034,count,0.0421857
CARD16,OK,dxPD,-0.2092987,0.0446757,-4.6848,3.01e-06,-0.29906488946483,count,0.04455101
RPL13A,OK,dxPD,0.0958303,0.0210106,4.561,5.42e-06,0.137990794947999,count,0.080216
CX3CR1,OK,dxPD,-0.8145234,0.182559,-4.4617,8.62e-06,-1.03911706161992,count,0.12756738
ID2,OK,dxPD,-0.2664548,0.059783,-4.457,8.81e-06,-0.378743634324186,count,0.13037038
TMSB10,OK,dxPD,-0.0672512,0.0151813,-4.4299,9.98e-06,-0.0969407837046435,count,0.14767406
