gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ACTB,ACTB,1,0.193982187100849,8.83899061554193,0.988862184184302,0.19616705968068,0.0706319575156064,5.38780291068766e-151,4.79309722540596e-146
ACTB,ACTB,2,0.251128769733768,12.2640673946714,0.999460043196544,0.251264441678519,0.12110431042073,3.3138406497196e-246,2.94805891880355e-241
AIF1,AIF1,1,0.189992529073597,4.0423959705569,0.937100650682924,0.202745061520486,0.0791401719761988,2.65020720746023e-169,2.35767733590077e-164
AIF1,AIF1,2,0.306248182682778,7.07355939494319,0.989200863930886,0.309591503454424,0.181860586966298,0,0
AP2S1,AP2S1,6,0.204090308260041,0.866649432502855,0.730769230769231,0.279281474461108,0.0167628341322001,0.0104371865050466,1
ATP5E,ATP5E,6,0.19588610369306,3.2231306081523,0.961538461538461,0.203721547840783,0.00106495683349487,0.518631632630314,1
B2M,B2M,3,0.23993979520971,31.1973130177345,1,0.23993979520971,0.135227778690259,5.78383848310549e-35,5.14541839134031e-30
C14orf2,C14orf2,6,0.194615560657052,1.62246382787449,0.846153846153846,0.230000208049244,0.00314746185995267,0.26715034446881,1
CCL5,CCL5,3,0.361704810521541,2.72737454411605,0.527472527472528,0.685732036613755,0.362302765625757,2.88511595566078e-91,2.56665685647494e-86
CD3D,CD3D,3,0.238332180721562,0.484489628108307,0.252747252747253,0.942966454159224,0.177283968678225,2.35891686842835e-45,2.09853962449123e-40
CD3E,CD3E,3,0.25523331463707,0.425742367115313,0.263736263736264,0.967759651332225,0.200086801111545,5.42340352983638e-51,4.82476824821304e-46
CD52,CD52,2,0.241499327025134,5.42337873831796,0.962742980561555,0.250845066545456,0.0873647673498163,9.56740764167428e-177,8.51135718618627e-172
CD74,CD74,1,0.192551337923921,4.92483231931682,0.927193856615276,0.207671067436566,0.00036650010979438,0.0616660824227302,1
CD74,CD74,4,0.251425685126813,6.79632542117493,0.949152542372881,0.264894918258606,0.00849302860607548,0.00987927117910077,1
CDKN1C,CDKN1C,2,0.29290233824211,0.455668549295251,0.408747300215983,0.716585377046748,0.243494856664949,0,0
