gene_short_name,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
HLA-DRB5,OK,mutPD,-0.8622578,0.0336326,-25.6376,1.66e-140,-1.22126632849606,count,2.461282e-136
CD52,OK,mutPD,-0.4669507,0.0184268,-25.3408,2.05e-137,-0.671368429880749,count,3.03933e-133
FOLR3,OK,mutPD,1.586095,0.0761318,20.8335,2.02e-94,2.17561489621341,count,2.99465e-90
TXNDC15,OK,mutPD,2.770915,0.1364936,20.3007,7.67e-90,3.87700617656938,count,1.1370008e-85
UBC,OK,mutPD,-0.4342265,0.0223148,-19.4591,7.86e-83,-0.620871322211244,count,1.1650878e-78
G0S2,OK,mutPD,-0.9173182,0.0572944,-16.0106,5.38e-57,-1.28232359308215,count,7.974236e-53
RPS3A,OK,mutPD,0.195389,0.01266,15.4336,3.91e-53,0.281148718894598,count,5.795011e-49
CFD,OK,mutPD,-0.3692307,0.0255549,-14.4485,7.48e-47,-0.526457405020547,count,1.108536e-42
RPL12,OK,mutPD,0.1625396,0.0126423,12.8568,1.55e-37,0.233843383153202,count,2.296945e-33
S100A8,OK,mutPD,-0.1914156,0.0150281,-12.7372,7.04e-37,-0.276055534462804,count,1.0431872e-32
S100A9,OK,mutPD,-0.1697093,0.0137376,-12.3537,8.29e-35,-0.244698940008463,count,1.2283293e-30
RPS10,OK,mutPD,0.3489486,0.028506,12.2412,3.27e-34,0.496214010586327,count,4.844832e-30
RGS2,OK,mutPD,-0.386169,0.0320414,-12.0522,3.19e-33,-0.548393764658204,count,4.725985e-29
LYZ,OK,mutPD,-0.14126,0.0123127,-11.4727,2.78e-30,-0.203685274901692,count,4.118292e-26
RPLP2,OK,mutPD,0.1399812,0.0122844,11.395,6.73e-30,0.201441947296812,count,9.969149e-26
RPS14,OK,mutPD,0.0875075,0.0080739,10.8383,3.2e-27,0.126109688088933,count,4.73984e-23
TMSB10,OK,mutPD,0.0805249,0.0077813,10.3485,5.66e-25,0.116073824652821,count,8.383026e-21
TMEM176B,OK,mutPD,0.6960085,0.0681135,10.2184,2.15e-24,0.942015962549103,count,3.18415e-20
HLA-B,OK,mutPD,0.1425334,0.0142464,10.0049,1.86e-23,0.204969268224579,count,2.754474e-19
ANAPC7,OK,mutPD,-0.7685968,0.0771792,-9.9586,2.96e-23,-1.00856210732624,count,4.383168e-19
CST3,OK,mutPD,0.1174325,0.0122669,9.5732,1.28e-21,0.169052753434003,count,1.895296e-17
RPS26,OK,mutPD,0.1577016,0.0166617,9.4649,3.59e-21,0.226433113902072,count,5.315354e-17
SOD2,OK,mutPD,-0.3318318,0.0356965,-9.2959,1.76e-20,-0.469473904703068,count,2.60568e-16
MNDA,OK,mutPD,-0.2196592,0.0238264,-9.2192,3.59e-20,-0.314160196866037,count,5.314636e-16
FOS,OK,mutPD,-0.1069233,0.0117282,-9.1168,9.21e-20,-0.154030625871187,count,1.3633563e-15
HLA-DRB1,OK,mutPD,0.19105,0.0218984,8.7244,3.1e-18,0.27411175630689,count,4.58862e-14
RPL10,OK,mutPD,0.0790462,0.009294,8.5051,2.07e-17,0.113898278198474,count,3.063807e-13
B2M,OK,mutPD,-0.05669,0.0066689,-8.5007,2.15e-17,-0.081746069408415,count,3.182e-13
S100A12,OK,mutPD,-0.1924805,0.0228399,-8.4274,4.02e-17,-0.276733518535441,count,5.949198e-13
RPS23,OK,mutPD,0.1003021,0.0125767,7.9753,1.68e-15,0.144330547615498,count,2.486064e-11
RPL10A,OK,mutPD,0.1258322,0.0158434,7.9423,2.2e-15,0.180753637351049,count,3.25534e-11
TMEM176A,OK,mutPD,0.8220918,0.1039226,7.9106,2.83e-15,1.03433736776178,count,4.187268e-11
FTH1,OK,mutPD,-0.0750388,0.0095243,-7.8787,3.65e-15,-0.108193817710465,count,5.400175e-11
HLA-A,OK,mutPD,-0.1390696,0.0177102,-7.8525,4.49e-15,-0.199450266393538,count,6.642506e-11
RPS24,OK,mutPD,0.0902471,0.0115069,7.8429,4.85e-15,0.129900303878004,count,7.174605e-11
RPL37A,OK,mutPD,0.1065917,0.0136849,7.789,7.42e-15,0.153267854305187,count,1.0975664e-10
CRIP1,OK,mutPD,0.2410192,0.0309586,7.7852,7.64e-15,0.345554223604702,count,1.1300324e-10
PLA2G16,OK,mutPD,-0.8169873,0.1055497,-7.7403,1.09e-14,-0.981381275580873,count,1.61211e-10
RPL27A,OK,mutPD,0.0960019,0.0125034,7.6781,1.76e-14,0.138133082225389,count,2.602864e-10
HLA-DQB1,OK,mutPD,0.3487241,0.0455896,7.6492,2.21e-14,0.487212862660223,count,3.268148e-10
RPLP1,OK,mutPD,0.0657607,0.0086236,7.6257,2.65e-14,0.0947798468428779,count,3.918555e-10
RPS5,OK,mutPD,0.1434284,0.0188904,7.5926,3.41e-14,0.205611311621427,count,5.042026e-10
HLA-DPB1,OK,mutPD,0.2154923,0.0286031,7.5339,5.35e-14,0.308119593304638,count,7.909975e-10
PROK2,OK,mutPD,-1.097732,0.1494572,-7.3448,2.22e-13,-1.16930984261254,count,3.282048e-09
THBS1,OK,mutPD,-0.4677689,0.063959,-7.3136,2.8e-13,-0.644641276830718,count,4.13924e-09
S100A6,OK,mutPD,-0.0671287,0.009226,-7.276,3.69e-13,-0.0967368056484242,count,5.454558e-09
HLA-DPA1,OK,mutPD,0.2199393,0.0311561,7.0593,1.78e-12,0.31374736992908,count,2.631018e-08
