metavar,cluster,gene,statistic,p.value,FDR
mut,1,C19orf33,1,1,1
mut,1,C19orf59,1,1,1
mut,1,C1QA,0,1,1
mut,1,C1QB,1,1,1
mut,1,C1QBP,1,1,1
mut,1,C1QC,1,1,1
mut,1,C1orf21,1,1,1
mut,1,C1orf213,1,1,1
mut,1,C1orf35,1,1,1
mut,1,C1orf54,1,1,1
mut,1,C1orf56,1,1,1
mut,1,C1orf61,1,1,1
mut,1,C2,1,1,1
mut,1,C20orf201,1,1,1
mut,1,C22orf29,1,1,1
mut,1,C2orf27A,1,1,1
mut,1,C2orf44,1,1,1
mut,1,C2orf62,1,1,1
mut,1,C2orf88,0,1,1
mut,1,C3AR1,1,1,1
mut,1,C3orf14,1,1,1
mut,1,C4orf33,1,1,1
mut,1,C4orf46,1,1,1
mut,1,C5,1,1,1
mut,1,C5AR1,1,1,1
mut,1,C5orf45,1,1,1
mut,1,C6orf120,1,1,1
mut,1,C6orf48,1,1,1
mut,1,C8orf58,1,1,1
mut,1,C9orf47,1,1,1
mut,1,C9orf69,1,1,1
mut,1,C9orf9,1,1,1
mut,1,CABIN1,1,1,1
mut,1,CACFD1,1,1,1
mut,1,CACNA2D3,1,1,1
mut,1,CACNB4,1,1,1
mut,1,CALHM2,1,1,1
mut,1,CALML4,1,1,1
mut,1,CALR,1,1,1
mut,1,CAMK1,1,1,1
mut,1,CAMK1D,1,1,1
mut,1,CAMP,1,1,1
mut,1,CAND1,1,1,1
mut,1,CAPZA1,1,1,1
mut,1,CARF,1,1,1
mut,1,CASP10,1,1,1
mut,1,CASP5,1,1,1
mut,1,CATSPER1,1,1,1
mut,1,CBLL1,1,1,1
mut,1,CBLN3,1,1,1
mut,1,CBR4,1,1,1
mut,1,CBY1,1,1,1
mut,1,CCDC122,1,1,1
mut,1,CCDC13,1,1,1
mut,1,CCDC137,1,1,1
mut,1,CCDC146,1,1,1
mut,1,CCDC149,1,1,1
mut,1,CCDC15,1,1,1
mut,1,CCDC153,1,1,1
mut,1,CCDC167,1,1,1
mut,1,CCDC176,0,1,1
mut,1,CCDC19,1,1,1
mut,1,CCDC25,1,1,1
mut,1,CCDC41,1,1,1
mut,1,CCDC43,1,1,1
mut,1,CCDC50,1,1,1
