metavar,cluster,gene,statistic,p.value,FDR
dx,0,AASDH,1,1,1
dx,0,ABCA1,1,1,1
dx,0,ABCE1,1,1,1
dx,0,ABHD12,1,1,1
dx,0,ABHD2,1,1,1
dx,0,ABHD5,1,1,1
dx,0,ABI3,2,1,1
dx,0,ABL2,1,1,1
dx,0,ABLIM3,1,1,1
dx,0,ACBD3,1,1,1
dx,0,ACBD5,1,1,1
dx,0,ACN9,1,1,1
dx,0,ACPL2,1,1,1
dx,0,ACRBP,1,1,1
dx,0,ACSS2,1,1,1
dx,0,ACTA2,3,0.5,1
dx,0,ACTB,3,0.5,1
dx,0,ACVR1B,3,0.5,1
dx,0,ACY3,1,1,1
dx,0,ADA,1,1,1
dx,0,ADAL,1,1,1
dx,0,ADAM19,0,0.5,1
dx,0,ADAMDEC1,1,1,1
dx,0,ADAP2,1,1,1
dx,0,ADCK2,1,1,1
dx,0,ADCY3,3,0.5,1
dx,0,ADIPOR2,1,1,1
dx,0,ADK,1,1,1
dx,0,ADM,3,0.5,1
dx,0,ADORA2B,0,0.5,1
dx,0,ADPRHL2,1,1,1
dx,0,ADRA2B,1,1,1
dx,0,ADRB1,1,1,1
dx,0,AGA,1,1,1
dx,0,AGBL2,3,0.5,1
dx,0,AGFG2,0,0.5,1
dx,0,AGO1,1,1,1
dx,0,AGPAT4,1,1,1
dx,0,AHI1,1,1,1
dx,0,AHSA2,1,1,1
dx,0,AIF1,3,0.5,1
dx,0,AIFM1,1,1,1
dx,0,AIFM2,1,1,1
dx,0,AK8,0,0.5,1
dx,0,AKAP11,1,1,1
dx,0,AKIRIN1,1,1,1
dx,0,AKR1B1,1,1,1
dx,0,AKR1E2,3,0.5,1
dx,0,AKT2,1,1,1
dx,0,AKT3,3,0.5,1
dx,0,ALAD,1,1,1
dx,0,ALDH1A1,1,1,1
dx,0,ALDH4A1,1,1,1
dx,0,ALDH6A1,1,1,1
dx,0,ALMS1,1,1,1
dx,0,ALOX5AP,2,1,1
dx,0,AMBRA1,1,1,1
dx,0,ANAPC7,1,1,1
dx,0,ANG,1,1,1
dx,0,ANKDD1A,1,1,1
dx,0,ANKRD22,0,0.5,1
dx,0,ANKRD26,1,1,1
dx,0,ANKRD28,1,1,1
dx,0,ANKRD32,1,1,1
dx,0,ANKRD37,1,1,1
dx,0,ANKRD46,1,1,1
dx,0,ANO10,1,1,1
dx,0,ANXA1,2,1,1
dx,0,ANXA2,2,1,1
