metavar,cluster,gene,statistic,p.value,FDR
mut,0,AASDH,1,1,1
mut,0,ABCA1,1,1,1
mut,0,ABCE1,1,1,1
mut,0,ABHD12,1,1,1
mut,0,ABHD2,1,1,1
mut,0,ABHD5,1,1,1
mut,0,ABI3,1,1,1
mut,0,ABL2,1,1,1
mut,0,ABLIM3,1,1,1
mut,0,ACBD3,1,1,1
mut,0,ACBD5,1,1,1
mut,0,ACN9,1,1,1
mut,0,ACPL2,1,1,1
mut,0,ACRBP,1,1,1
mut,0,ACSS2,1,1,1
mut,0,ACTA2,0,1,1
mut,0,ACTB,0,1,1
mut,0,ACVR1B,1,1,1
mut,0,ACY3,1,1,1
mut,0,ADA,1,1,1
mut,0,ADAL,1,1,1
mut,0,ADAM19,1,1,1
mut,0,ADAMDEC1,1,1,1
mut,0,ADAP2,1,1,1
mut,0,ADCK2,1,1,1
mut,0,ADCY3,1,1,1
mut,0,ADIPOR2,1,1,1
mut,0,ADK,1,1,1
mut,0,ADM,1,1,1
mut,0,ADORA2B,1,1,1
mut,0,ADPRHL2,1,1,1
mut,0,ADRA2B,1,1,1
mut,0,ADRB1,1,1,1
mut,0,AGA,1,1,1
mut,0,AGBL2,1,1,1
mut,0,AGFG2,1,1,1
mut,0,AGO1,1,1,1
mut,0,AGPAT4,1,1,1
mut,0,AHI1,1,1,1
mut,0,AHSA2,1,1,1
mut,0,AIF1,0,1,1
mut,0,AIFM1,1,1,1
mut,0,AIFM2,1,1,1
mut,0,AK8,1,1,1
mut,0,AKAP11,1,1,1
mut,0,AKIRIN1,1,1,1
mut,0,AKR1B1,1,1,1
mut,0,AKR1E2,1,1,1
mut,0,AKT2,1,1,1
mut,0,AKT3,1,1,1
mut,0,ALAD,1,1,1
mut,0,ALDH1A1,1,1,1
mut,0,ALDH4A1,1,1,1
mut,0,ALDH6A1,1,1,1
mut,0,ALMS1,1,1,1
mut,0,ALOX5AP,0,1,1
mut,0,AMBRA1,1,1,1
mut,0,ANAPC7,1,1,1
mut,0,ANG,1,1,1
mut,0,ANKDD1A,1,1,1
mut,0,ANKRD22,1,1,1
mut,0,ANKRD26,1,1,1
mut,0,ANKRD28,1,1,1
mut,0,ANKRD32,1,1,1
mut,0,ANKRD37,1,1,1
mut,0,ANKRD46,1,1,1
mut,0,ANO10,1,1,1
mut,0,ANXA1,1,1,1
mut,0,ANXA2,0,1,1
mut,0,ANXA2R,1,1,1
mut,0,AP1S3,1,1,1
mut,0,AP3M1,1,1,1
mut,0,AP5M1,1,1,1
mut,0,APBB3,1,1,1
mut,0,API5,1,1,1
mut,0,APOA1,1,1,1
mut,0,APOBEC3A,1,1,1
mut,0,APOBEC3B,1,1,1
mut,0,APOBEC3C,1,1,1
mut,0,APOBEC3G,1,1,1
mut,0,APOE,1,1,1
mut,0,APOL2,1,1,1
mut,0,APOL3,1,1,1
mut,0,AQP9,1,1,1
mut,0,AREG,1,1,1
mut,0,ARHGAP11A,0,1,1
mut,0,ARHGAP22,1,1,1
mut,0,ARHGAP31,1,1,1
mut,0,ARHGAP33,1,1,1
mut,0,ARHGAP6,1,1,1
mut,0,ARHGEF37,1,1,1
mut,0,ARHGEF40,1,1,1
mut,0,ARHGEF9,1,1,1
mut,0,ARID3A,1,1,1
mut,0,ARID5A,1,1,1
mut,0,ARID5B,1,1,1
mut,0,ARL2,1,1,1
mut,0,ARL4A,1,1,1
mut,0,ARL4C,1,1,1
mut,0,ARL4D,1,1,1
mut,0,ARRDC3,1,1,1
mut,0,ASCC3,1,1,1
mut,0,ASGR2,1,1,1
mut,0,ASRGL1,1,1,1
mut,0,ATF2,1,1,1
mut,0,ATF3,1,1,1
mut,0,ATF5,1,1,1
mut,0,ATF7IP2,1,1,1
mut,0,ATG2B,1,1,1
mut,0,ATG9B,1,1,1
mut,0,ATMIN,1,1,1
mut,0,ATP10A,1,1,1
mut,0,ATP1B1,1,1,1
mut,0,ATP2B1,1,1,1
mut,0,ATP5B,1,1,1
mut,0,ATP5SL,1,1,1
mut,0,ATP8B3,1,1,1
mut,0,ATRIP,1,1,1
mut,0,ATXN7L1,1,1,1
mut,0,ATXN7L3B,1,1,1
mut,0,AVL9,1,1,1
mut,0,B2M,0,1,1
mut,0,B3GALNT1,1,1,1
mut,0,B4GALT1,1,1,1
mut,0,B4GALT7,1,1,1
mut,0,BAG5,1,1,1
mut,0,BAI3,1,1,1
mut,0,BANK1,1,1,1
mut,0,BASP1,1,1,1
mut,0,BATF,1,1,1
mut,0,BATF3,1,1,1
mut,0,BAZ2B,1,1,1
mut,0,BBX,1,1,1
mut,0,BCAS4,1,1,1
mut,0,BCL11A,1,1,1
mut,0,BCL2,1,1,1
mut,0,BCL2A1,1,1,1
mut,0,BCL7A,1,1,1
mut,0,BDP1,1,1,1
mut,0,BEGAIN,0,1,1
mut,0,BEX4,1,1,1
mut,0,BHLHE40,1,1,1
mut,0,BICC1,1,1,1
mut,0,BID,1,1,1
mut,0,BIRC3,1,1,1
mut,0,BLK,1,1,1
mut,0,BLOC1S3,1,1,1
mut,0,BLVRA,1,1,1
mut,0,BMP1,1,1,1
mut,0,BMP2K,1,1,1
mut,0,BPI,0,1,1
mut,0,BPNT1,1,1,1
mut,0,BRD8,1,1,1
mut,0,BRI3BP,1,1,1
mut,0,BTBD11,1,1,1
mut,0,BTD,1,1,1
mut,0,BTG2,1,1,1
mut,0,BTNL8,1,1,1
mut,0,BTNL9,1,1,1
mut,0,BYSL,1,1,1
mut,0,BZRAP1,1,1,1
mut,0,BZW2,1,1,1
mut,0,C10orf111,1,1,1
mut,0,C10orf118,1,1,1
mut,0,C10orf128,1,1,1
mut,0,C11orf21,1,1,1
mut,0,C11orf35,1,1,1
mut,0,C11orf63,1,1,1
mut,0,C12orf4,1,1,1
mut,0,C12orf45,1,1,1
mut,0,C12orf49,1,1,1
mut,0,C12orf5,1,1,1
mut,0,C12orf57,1,1,1
mut,0,C12orf65,1,1,1
mut,0,C14orf182,1,1,1
mut,0,C15orf38,1,1,1
mut,0,C15orf48,1,1,1
mut,0,C16orf54,1,1,1
mut,0,C16orf58,1,1,1
mut,0,C16orf72,1,1,1
mut,0,C17orf103,0,1,1
mut,0,C17orf104,1,1,1
mut,0,C17orf107,1,1,1
mut,0,C17orf51,0,1,1
mut,0,C17orf59,1,1,1
mut,0,C18orf8,1,1,1
mut,0,C19orf33,1,1,1
mut,0,C19orf59,1,1,1
mut,0,C1QA,1,1,1
mut,0,C1QB,1,1,1
mut,0,C1QBP,1,1,1
mut,0,C1QC,1,1,1
mut,0,C1orf21,1,1,1
mut,0,C1orf213,1,1,1
mut,0,C1orf35,1,1,1
mut,0,C1orf54,1,1,1
mut,0,C1orf56,0,1,1
mut,0,C1orf61,1,1,1
mut,0,C2,1,1,1
mut,0,C20orf201,1,1,1
mut,0,C22orf29,1,1,1
mut,0,C2orf27A,1,1,1
mut,0,C2orf44,1,1,1
mut,0,C2orf62,1,1,1
mut,0,C2orf88,0,1,1
mut,0,C3AR1,1,1,1
mut,0,C3orf14,1,1,1
mut,0,C4orf33,1,1,1
mut,0,C4orf46,1,1,1
mut,0,C5,1,1,1
mut,0,C5AR1,1,1,1
mut,0,C5orf45,1,1,1
mut,0,C6orf120,1,1,1
mut,0,C6orf48,1,1,1
mut,0,C8orf58,1,1,1
mut,0,C9orf47,0,1,1
mut,0,C9orf69,1,1,1
mut,0,C9orf9,1,1,1
mut,0,CABIN1,1,1,1
mut,0,CACFD1,1,1,1
mut,0,CACNA2D3,1,1,1
mut,0,CACNB4,1,1,1
mut,0,CALHM2,1,1,1
mut,0,CALML4,1,1,1
mut,0,CALR,1,1,1
mut,0,CAMK1,1,1,1
mut,0,CAMK1D,1,1,1
mut,0,CAMP,1,1,1
mut,0,CAND1,1,1,1
mut,0,CAPZA1,1,1,1
mut,0,CARF,1,1,1
mut,0,CASP10,1,1,1
mut,0,CASP5,1,1,1
mut,0,CATSPER1,1,1,1
mut,0,CBLL1,1,1,1
mut,0,CBLN3,1,1,1
mut,0,CBR4,1,1,1
mut,0,CBY1,0,1,1
mut,0,CCDC122,1,1,1
mut,0,CCDC13,1,1,1
mut,0,CCDC137,1,1,1
mut,0,CCDC146,1,1,1
mut,0,CCDC149,0,1,1
mut,0,CCDC15,1,1,1
mut,0,CCDC153,1,1,1
mut,0,CCDC167,1,1,1
mut,0,CCDC176,0,1,1
mut,0,CCDC19,1,1,1
mut,0,CCDC25,1,1,1
mut,0,CCDC41,1,1,1
mut,0,CCDC43,1,1,1
mut,0,CCDC50,1,1,1
mut,0,CCDC58,1,1,1
mut,0,CCDC62,0,1,1
mut,0,CCDC80,1,1,1
mut,0,CCDC81,1,1,1
mut,0,CCDC9,1,1,1
mut,0,CCDC91,1,1,1
mut,0,CCDC96,1,1,1
mut,0,CCL19,1,1,1
mut,0,CCL2,1,1,1
mut,0,CCL20,1,1,1
mut,0,CCL3,1,1,1
mut,0,CCL3L1,1,1,1
mut,0,CCL3L3,1,1,1
mut,0,CCL4,1,1,1
