metavar,cluster,gene,statistic,p.value,FDR
dx,2,AASDH,3,0.5,0.533620225927918
dx,2,ABCA1,3,0.5,0.533620225927918
dx,2,ABCE1,3,0.5,0.533620225927918
dx,2,ABHD12,3,0.5,0.533620225927918
dx,2,ABHD2,3,0.5,0.533620225927918
dx,2,ABHD5,3,0.5,0.533620225927918
dx,2,ABI3,3,0.5,0.533620225927918
dx,2,ABL2,3,0.5,0.533620225927918
dx,2,ABLIM3,3,0.5,0.533620225927918
dx,2,ACBD3,3,0.5,0.533620225927918
dx,2,ACBD5,3,0.5,0.533620225927918
dx,2,ACN9,3,0.5,0.533620225927918
dx,2,ACPL2,3,0.5,0.533620225927918
dx,2,ACRBP,3,0.5,0.533620225927918
dx,2,ACSS2,3,0.5,0.533620225927918
dx,2,ACTA2,3,0.5,0.533620225927918
dx,2,ACTB,0,0.5,0.533620225927918
dx,2,ACVR1B,3,0.5,0.533620225927918
dx,2,ACY3,3,0.5,0.533620225927918
dx,2,ADA,3,0.5,0.533620225927918
dx,2,ADAL,3,0.5,0.533620225927918
dx,2,ADAM19,2,1,1
dx,2,ADAMDEC1,3,0.5,0.533620225927918
dx,2,ADAP2,3,0.5,0.533620225927918
dx,2,ADCK2,3,0.5,0.533620225927918
dx,2,ADCY3,3,0.5,0.533620225927918
dx,2,ADIPOR2,3,0.5,0.533620225927918
dx,2,ADK,3,0.5,0.533620225927918
dx,2,ADM,3,0.5,0.533620225927918
dx,2,ADORA2B,2,1,1
dx,2,ADPRHL2,3,0.5,0.533620225927918
dx,2,ADRA2B,3,0.5,0.533620225927918
dx,2,ADRB1,3,0.5,0.533620225927918
dx,2,AGA,3,0.5,0.533620225927918
dx,2,AGBL2,3,0.5,0.533620225927918
dx,2,AGFG2,0,0.5,0.533620225927918
dx,2,AGO1,3,0.5,0.533620225927918
dx,2,AGPAT4,3,0.5,0.533620225927918
dx,2,AHI1,3,0.5,0.533620225927918
dx,2,AHSA2,3,0.5,0.533620225927918
dx,2,AIF1,1,1,1
dx,2,AIFM1,3,0.5,0.533620225927918
dx,2,AIFM2,3,0.5,0.533620225927918
dx,2,AK8,2,1,1
dx,2,AKAP11,3,0.5,0.533620225927918
