metavar,cluster,gene,statistic,p.value,FDR
dx,all,ATP1B1,19,0.372727272727273,0.474032634032634
dx,all,ATP2B1,18,0.481818181818182,0.557067175248993
dx,all,ATP5B,12,0.863636363636364,0.884135472370766
dx,all,ATP5SL,19,0.372727272727273,0.474032634032634
dx,all,ATP8B3,20,0.281818181818182,0.474032634032634
dx,all,ATRIP,23,0.1,0.474032634032634
dx,all,ATXN7L1,23,0.1,0.474032634032634
dx,all,ATXN7L3B,19,0.372727272727273,0.474032634032634
dx,all,AVL9,19,0.372727272727273,0.474032634032634
dx,all,B2M,17,0.6,0.650491803278689
dx,all,B3GALNT1,18,0.481818181818182,0.557067175248993
dx,all,B4GALT1,4,0.1,0.474032634032634
dx,all,B4GALT7,19,0.372727272727273,0.474032634032634
dx,all,BAG5,19,0.372727272727273,0.474032634032634
dx,all,BAI3,23,0.1,0.474032634032634
dx,all,BANK1,19,0.372727272727273,0.474032634032634
dx,all,BASP1,20,0.281818181818182,0.474032634032634
dx,all,BATF,19,0.372727272727273,0.474032634032634
dx,all,BATF3,21,0.209090909090909,0.474032634032634
dx,all,BAZ2B,18,0.481818181818182,0.557067175248993
dx,all,BBX,19,0.372727272727273,0.474032634032634
dx,all,BCAS4,19,0.372727272727273,0.474032634032634
dx,all,BCL11A,19,0.372727272727273,0.474032634032634
dx,all,BCL2,16,0.727272727272727,0.761831621388116
dx,all,BCL2A1,18,0.481818181818182,0.557067175248993
dx,all,BCL7A,19,0.372727272727273,0.474032634032634
dx,all,BDP1,20,0.281818181818182,0.474032634032634
dx,all,BEGAIN,23,0.1,0.474032634032634
dx,all,BEX4,20,0.281818181818182,0.474032634032634
dx,all,BHLHE40,19,0.372727272727273,0.474032634032634
dx,all,BICC1,4,0.1,0.474032634032634
dx,all,BID,10,0.6,0.650491803278689
dx,all,BIRC3,20,0.281818181818182,0.474032634032634
dx,all,BLK,8,0.372727272727273,0.474032634032634
dx,all,BLOC1S3,19,0.372727272727273,0.474032634032634
dx,all,BLVRA,19,0.372727272727273,0.474032634032634
dx,all,BMP1,16,0.727272727272727,0.761831621388116
dx,all,BMP2K,23,0.1,0.474032634032634
dx,all,BPI,24,0.0636363636363636,0.474032634032634
dx,all,BPNT1,20,0.281818181818182,0.474032634032634
dx,all,BRD8,19,0.372727272727273,0.474032634032634
dx,all,BRI3BP,20,0.281818181818182,0.474032634032634
dx,all,BTBD11,23,0.1,0.474032634032634
dx,all,BTD,18,0.481818181818182,0.557067175248993
dx,all,BTG2,18,0.481818181818182,0.557067175248993
dx,all,BTNL8,3,0.0636363636363636,0.474032634032634
dx,all,BTNL9,21,0.209090909090909,0.474032634032634
dx,all,BYSL,19,0.372727272727273,0.474032634032634
dx,all,BZRAP1,20,0.281818181818182,0.474032634032634
dx,all,BZW2,19,0.372727272727273,0.474032634032634
dx,all,C10orf111,20,0.281818181818182,0.474032634032634
dx,all,C10orf118,18,0.481818181818182,0.557067175248993
dx,all,C10orf128,19,0.372727272727273,0.474032634032634
dx,all,C11orf21,17,0.6,0.650491803278689
dx,all,C11orf35,21,0.209090909090909,0.474032634032634
dx,all,C11orf63,22,0.145454545454545,0.474032634032634
dx,all,C12orf4,19,0.372727272727273,0.474032634032634
dx,all,C12orf45,20,0.281818181818182,0.474032634032634
dx,all,C12orf49,20,0.281818181818182,0.474032634032634
dx,all,C12orf5,21,0.209090909090909,0.474032634032634
dx,all,C12orf57,15,0.863636363636364,0.884135472370766
dx,all,C12orf65,10,0.6,0.650491803278689
dx,all,C14orf182,23,0.1,0.474032634032634
dx,all,C15orf38,19,0.372727272727273,0.474032634032634
dx,all,C15orf48,19,0.372727272727273,0.474032634032634
dx,all,C16orf54,18,0.481818181818182,0.557067175248993
dx,all,C16orf58,19,0.372727272727273,0.474032634032634
dx,all,C16orf72,20,0.281818181818182,0.474032634032634
dx,all,C17orf103,23,0.1,0.474032634032634
dx,all,C17orf104,21,0.209090909090909,0.474032634032634
dx,all,C17orf107,20,0.281818181818182,0.474032634032634
dx,all,C17orf51,18,0.481818181818182,0.557067175248993
dx,all,C17orf59,19,0.372727272727273,0.474032634032634
dx,all,C18orf8,19,0.372727272727273,0.474032634032634
dx,all,C19orf33,19,0.372727272727273,0.474032634032634
dx,all,C19orf59,22,0.145454545454545,0.474032634032634
dx,all,C1QA,14,1,1
dx,all,C1QB,19,0.372727272727273,0.474032634032634
dx,all,C1QBP,13,1,1
dx,all,C1QC,19,0.372727272727273,0.474032634032634
dx,all,C1orf21,19,0.372727272727273,0.474032634032634
dx,all,C1orf213,19,0.372727272727273,0.474032634032634
dx,all,C1orf35,20,0.281818181818182,0.474032634032634
dx,all,C1orf54,20,0.281818181818182,0.474032634032634
dx,all,C1orf56,6,0.209090909090909,0.474032634032634
dx,all,C1orf61,11,0.727272727272727,0.761831621388116
dx,all,C2,19,0.372727272727273,0.474032634032634
dx,all,C20orf201,19,0.372727272727273,0.474032634032634
dx,all,C22orf29,19,0.372727272727273,0.474032634032634
dx,all,C2orf27A,21,0.209090909090909,0.474032634032634
dx,all,C2orf44,19,0.372727272727273,0.474032634032634
dx,all,C2orf62,19,0.372727272727273,0.474032634032634
dx,all,C2orf88,6,0.209090909090909,0.474032634032634
dx,all,C3AR1,19,0.372727272727273,0.474032634032634
dx,all,C3orf14,19,0.372727272727273,0.474032634032634
dx,all,C4orf33,19,0.372727272727273,0.474032634032634
dx,all,C4orf46,21,0.209090909090909,0.474032634032634
dx,all,C5,19,0.372727272727273,0.474032634032634
