metavar,cluster,gene,statistic,p.value,FDR
mut,all,AASDH,7,0.4,0.918518518518518
mut,all,ABCA1,6,0.7,0.918518518518518
mut,all,ABCE1,6,0.7,0.918518518518518
mut,all,ABHD12,6,0.7,0.918518518518518
mut,all,ABHD2,7,0.4,0.918518518518518
mut,all,ABHD5,7,0.4,0.918518518518518
mut,all,ABI3,7,0.4,0.918518518518518
mut,all,ABL2,6,0.7,0.918518518518518
mut,all,ABLIM3,7,0.4,0.918518518518518
mut,all,ACBD3,6,0.7,0.918518518518518
mut,all,ACBD5,5,1,1
mut,all,ACN9,7,0.4,0.918518518518518
mut,all,ACPL2,6,0.7,0.918518518518518
mut,all,ACRBP,6,0.7,0.918518518518518
mut,all,ACSS2,6,0.7,0.918518518518518
mut,all,ACTA2,4,1,1
mut,all,ACTB,4,1,1
mut,all,ACVR1B,5,1,1
mut,all,ACY3,5,1,1
mut,all,ADA,6,0.7,0.918518518518518
mut,all,ADAL,7,0.4,0.918518518518518
mut,all,ADAM19,7,0.4,0.918518518518518
mut,all,ADAMDEC1,6,0.7,0.918518518518518
mut,all,ADAP2,6,0.7,0.918518518518518
mut,all,ADCK2,5,1,1
mut,all,ADCY3,5,1,1
mut,all,ADIPOR2,5,1,1
mut,all,ADK,6,0.7,0.918518518518518
mut,all,ADM,6,0.7,0.918518518518518
mut,all,ADORA2B,7,0.4,0.918518518518518
mut,all,ADPRHL2,6,0.7,0.918518518518518
mut,all,ADRA2B,6,0.7,0.918518518518518
mut,all,ADRB1,7,0.4,0.918518518518518
mut,all,AGA,7,0.4,0.918518518518518
mut,all,AGBL2,6,0.7,0.918518518518518
mut,all,AGFG2,7,0.4,0.918518518518518
mut,all,AGO1,6,0.7,0.918518518518518
mut,all,AGPAT4,6,0.7,0.918518518518518
mut,all,AHI1,5,1,1
mut,all,AHSA2,7,0.4,0.918518518518518
mut,all,AIF1,3,0.7,0.918518518518518
mut,all,AIFM1,7,0.4,0.918518518518518
mut,all,AIFM2,7,0.4,0.918518518518518
mut,all,AK8,7,0.4,0.918518518518518
mut,all,AKAP11,5,1,1
mut,all,AKIRIN1,6,0.7,0.918518518518518
mut,all,AKR1B1,5,1,1
mut,all,AKR1E2,5,1,1
mut,all,AKT2,5,1,1
mut,all,AKT3,5,1,1
mut,all,ALAD,6,0.7,0.918518518518518
mut,all,ALDH1A1,6,0.7,0.918518518518518
mut,all,ALDH4A1,6,0.7,0.918518518518518
mut,all,ALDH6A1,7,0.4,0.918518518518518
mut,all,ALMS1,5,1,1
mut,all,ALOX5AP,2,0.4,0.918518518518518
mut,all,AMBRA1,6,0.7,0.918518518518518
mut,all,ANAPC7,6,0.7,0.918518518518518
mut,all,ANG,5,1,1
