metavar,cluster,gene,statistic,p.value,FDR
mut,2,AASDH,1,1,1
mut,2,ABCA1,1,1,1
mut,2,ABCE1,1,1,1
mut,2,ABHD12,1,1,1
mut,2,ABHD2,1,1,1
mut,2,ABHD5,1,1,1
mut,2,ABI3,1,1,1
mut,2,ABL2,1,1,1
mut,2,ABLIM3,1,1,1
mut,2,ACBD3,1,1,1
mut,2,ACBD5,0,1,1
mut,2,ACN9,1,1,1
mut,2,ACPL2,1,1,1
mut,2,ACRBP,0,1,1
mut,2,ACSS2,1,1,1
mut,2,ACTA2,0,1,1
mut,2,ACTB,0,1,1
mut,2,ACVR1B,0,1,1
mut,2,ACY3,0,1,1
mut,2,ADA,0,1,1
mut,2,ADAL,1,1,1
mut,2,ADAM19,1,1,1
mut,2,ADAMDEC1,1,1,1
mut,2,ADAP2,0,1,1
mut,2,ADCK2,0,1,1
mut,2,ADCY3,0,1,1
mut,2,ADIPOR2,0,1,1
mut,2,ADK,0,1,1
mut,2,ADM,1,1,1
mut,2,ADORA2B,1,1,1
mut,2,ADPRHL2,1,1,1
mut,2,ADRA2B,1,1,1
mut,2,ADRB1,1,1,1
mut,2,AGA,1,1,1
mut,2,AGBL2,1,1,1
mut,2,AGFG2,1,1,1
mut,2,AGO1,1,1,1
mut,2,AGPAT4,0,1,1
mut,2,AHI1,0,1,1
mut,2,AHSA2,1,1,1
mut,2,AIF1,0,1,1
mut,2,AIFM1,1,1,1
mut,2,AIFM2,1,1,1
mut,2,AK8,1,1,1
mut,2,AKAP11,0,1,1
mut,2,AKIRIN1,0,1,1
mut,2,AKR1B1,0,1,1
mut,2,AKR1E2,0,1,1
mut,2,AKT2,0,1,1
mut,2,AKT3,0,1,1
mut,2,ALAD,1,1,1
mut,2,ALDH1A1,1,1,1
mut,2,ALDH4A1,1,1,1
mut,2,ALDH6A1,1,1,1
mut,2,ALMS1,0,1,1
mut,2,ALOX5AP,0,1,1
mut,2,AMBRA1,1,1,1
mut,2,ANAPC7,1,1,1
mut,2,ANG,0,1,1
mut,2,ANKDD1A,0,1,1
mut,2,ANKRD22,1,1,1
mut,2,ANKRD26,1,1,1
mut,2,ANKRD28,1,1,1
mut,2,ANKRD32,1,1,1
mut,2,ANKRD37,1,1,1
mut,2,ANKRD46,1,1,1
mut,2,ANO10,1,1,1
mut,2,ANXA1,1,1,1
mut,2,ANXA2,1,1,1
mut,2,ANXA2R,1,1,1
mut,2,AP1S3,1,1,1
mut,2,AP3M1,0,1,1
mut,2,AP5M1,0,1,1
mut,2,APBB3,0,1,1
mut,2,API5,0,1,1
mut,2,APOA1,1,1,1
mut,2,APOBEC3A,1,1,1
mut,2,APOBEC3B,1,1,1
mut,2,APOBEC3C,0,1,1
mut,2,APOBEC3G,1,1,1
mut,2,APOE,1,1,1
mut,2,APOL2,1,1,1
mut,2,APOL3,0,1,1
mut,2,AQP9,1,1,1
mut,2,AREG,1,1,1
mut,2,ARHGAP11A,0,1,1
mut,2,ARHGAP22,1,1,1
mut,2,ARHGAP31,1,1,1
mut,2,ARHGAP33,1,1,1
mut,2,ARHGAP6,1,1,1
mut,2,ARHGEF37,1,1,1
mut,2,ARHGEF40,1,1,1
mut,2,ARHGEF9,1,1,1
mut,2,ARID3A,0,1,1
mut,2,ARID5A,1,1,1
mut,2,ARID5B,0,1,1
mut,2,ARL2,1,1,1
mut,2,ARL4A,0,1,1
mut,2,ARL4C,0,1,1
mut,2,ARL4D,1,1,1
mut,2,ARRDC3,0,1,1
mut,2,ASCC3,0,1,1
mut,2,ASGR2,0,1,1
mut,2,ASRGL1,1,1,1
mut,2,ATF2,1,1,1
mut,2,ATF3,0,1,1
mut,2,ATF5,0,1,1
mut,2,ATF7IP2,0,1,1
mut,2,ATG2B,1,1,1
mut,2,ATG9B,1,1,1
mut,2,ATMIN,0,1,1
mut,2,ATP10A,1,1,1
mut,2,ATP1B1,1,1,1
mut,2,ATP2B1,1,1,1
mut,2,ATP5B,0,1,1
mut,2,ATP5SL,1,1,1
mut,2,ATP8B3,1,1,1
mut,2,ATRIP,1,1,1
mut,2,ATXN7L1,1,1,1
mut,2,ATXN7L3B,1,1,1
mut,2,AVL9,1,1,1
mut,2,B2M,0,1,1
